Name,Base Price,Dealers,Description
020002515,$5.50 ,$3.89 ,Nozzle Holder Slide on
0509762A,$49.99 ,$43.99 ,Titan 0509762A Rock Catcher Mesh Filter
050C,$14.08 ,$9.99 ,"3/4"" Female Coupler x 1/2"" Hose Shank Camlock"
06-RD AIR-BTF,$1.99 ,$0.99 ,"3/8"" Red Air Hose 300psi 06-RD-REEL-500 (per ft)"
066 042 000 750,$0.99 ,$0.50 ,Polychain Sprocket Set Screw
070000026,$5.75 ,$4.25 ,"ST-003 Plated Lance 18"""
070000040,$6.25 ,$4.50 ,"ST-003 Plated Lance 24"""
070000055,$8.50 ,$6.25 ,"ST-003 Plated Lance 36"""
070000070,$11.07 ,$8.40 ,"ST-003 Plated Lance 48"""
070000080,$18.15 ,$13.61 ,"ST-003 Plated Lance 60"""
070002008,$8.99 ,$6.49 ,"ST-001 SS Lance 8"""
070003048,$8.50 ,$5.99 ,"ST-001 SS Lance 12"""
070004572,$10.90 ,$8.19 ,"ST-001 SS Lance18"""
070006008,$14.99 ,$10.50 ,"ST-001 SS Lance 24"""
070009008,$19.99 ,$14.25 ,"ST-001 SS Lance 36"""
070012008,$21.99 ,$14.89 ,"ST-001 SS Lance 48"""
075B,$12.50 ,$11.25 ,"3/4"" F x 3/4"" MPT Camlock"
075C,$9.50 ,$8.49 ,"3/4"" F Coupler x 3/4"" Hose Barb"
075F,$12.50 ,$11.25 ,"Male Adapter 3/4"" x 3/4"" Barb"
080032008,$20.10 ,$15.08 ,"1/4"" 25ft Hose 3000 PSI M22xM22"
080032020,$29.40 ,$22.06 ,"1/4"" 50' Hose 3.2K M22xM22"
080191BE,$23.10 ,$18.50 ,Diesel Fuel Cap
0971-1 Gallon,$16.50 ,$12.38 ,Power Brite Aluminum Brightener 1 Gallon
0971-5 PK,$66.00 ,$46.20 ,Power Brite Aluminum Brightener 5 Gallon
"1/2"" JIC Swivel",$21.00 ,$14.69 ,1/2 JIC Swivel for Block Mount Unloader
10.5004,$49.99 ,$36.99 ,MTM Hydro Inline Spray Gun 10GPM 5000PSI
10.5005,$71.99 ,$56.53 ,"Hydrojet 1/2"" Hydro Excavation Trigger Gun - Stainless Steel"
100 Vert Strap Set,$120.00 ,$90.00 ,100 gallon vertical tank strap set Aluminum
100-005,$41.59 ,$32.46 ,Honda GX 690 660 630 air filter
100-673,$13.60 ,$12.21 ,Air Filter Briggs
100-955,$5.99 ,$4.99 ,B&S diamond air filter foam
100-988,$8.40 ,$5.25 ,B&S GC GCV blue and white square air filter
10031306,$12.60 ,$8.93 ,"1 1/4"" 90 Degree Copper Elbow"
100534,$30.10 ,$22.56 ,Safety pressure relief valve pop off 195 degree
100538,$55.00 ,$41.27 ,Panel Mounted Thermostat
100556,$11.75 ,$8.10 ,"1/4"" GP Thermal Relief Valve"
100557,$12.60 ,$8.82 ,Thermal Relief Valve 3/8 GP
100558,$12.60 ,$8.82 ,Thermal Relief Valve 1/2 GP
100651,$26.42 ,$21.72 ,GP Clear Glass inlet 1/2''
100652,$21.00 ,$15.75 ,GP Clear Glass inlet 3/8''
100687,$299.99 ,$239.00 ,"General Pump 100687 Double A Groove Clutch Adapter Kit with Mounting Plate, 12V"
100774,$16.99 ,$11.25 ,GP 1.8mm 2-3 GPM High Draw Fixed Injector 4500 PSI
100775,$16.99 ,$11.25 ,GP 2.1mm 3-5 GPM High Draw Fixed Injector 4500 PSI
100776,$16.99 ,$11.25 ,GP 2.3mm 5-8 GPM High Draw Fixed Injector 4500 PSI
100783,$124.50 ,$94.00 ,GP Packing Extractor Kit
100785,$44.95 ,$34.00 ,2.1 Dual barb Adjustable injector BLACK KNOBS
100790,$31.50 ,$18.70 ,D-GP 2.1MM 3-5 GPM
100791,$31.50 ,$18.81 ,D-GP 2.3 mm 5-8 GPM
100804,$8.50 ,$6.79 ,Chemical Injector Repair Kit (Ceramic Ball SS spring and O-ring)
100829,$21.70 ,$17.36 ,2.1 Adjustable injector BLACK KNOB
100830,$21.70 ,$17.36 ,2.3 Adjustable injector BLACK KNOB
100879,$193.82 ,$155.05 ,"Flow Switch, Pilot Assist"
100888,$10.20 ,$7.68 ,Rebuild kit for GP Reel Swivel 2100278
1009.0445,$27.00 ,$21.60 ,Suction Flange #27 (Spec Order Only....See 3176)
10097245,$74.99 ,$61.33 ,"GP 1/2"" SS Safety Relief Valve w/ Barb; Preset to 4500PSI"
100975,$55.99 ,$41.95 ,100975 GP FLOW SWITCH STRAIGHT 12GPM
100Vert,$625.00 ,$420.00 ,100 Gallon Vertical Tank
100VERTLID,$19.99 ,$14.99 ,"5"" Tank Lid 100 Vertical"
101146,$49.99 ,$38.80 ,"1/2"" Inline High-Pressure Filter SS"
101153,$21.99 ,$16.99 ,"GP 1/2"" 2.5mm 5-8 GPM High Draw Fixed Injector 4500 PSI"
101170,$69.99 ,$53.19 ,Forged Chemical Injector - Stainless Steel with check valve 2.1 2-4+ GPM
101171,$69.99 ,$53.19 ,Forged Chemical Injector - Stainless Steel with check valve 2.2 3-5+ GPM
101172,$75.19 ,$61.19 ,Forged Chemical Injector - Stainless Steel With check valve 2.3 8+ GPM
101173,$69.99 ,$55.99 ,Forged Chemical Injector - Stainless Steel with check valve 3.2 10+ GPM
101316,$335.60 ,$285.28 ,12 Volt Motor for Electric Reels
110055,"$1,498.99 ","$1,252.13 ",ENGINE CRX750  With Muffler
110056,"$3,123.80 ","$2,498.00 ",ENGINE CRX1000 999CC EPA 49 STATE With Muffler
11010,$389.99 ,$309.00 ,11 Gallon aluminum fuel tank single pick-up 18x12x12
11019,$649.99 ,$439.99 ,22 Gallon aluminum fuel tank Dual pick-up 24x12x18
11070,$15.75 ,$14.18 ,"2.25"" VENTED DIESEL CAP WITH TETHER"
11100-ZDX-900,$836.50 ,$752.85 ,IGX800 block TAPP
11116,$15.30 ,$12.26 ,20 amp relay reset
11117,$17.50 ,$14.00 ,Relay for dragon hotbox
11152,$137.00 ,$99.99 ,"VRT 100 unloader 21 GPM 5075 PSI Green spring 1/2"""
11153,$13.10 ,$11.16 ,Universal Spot spray gun
11158,"$1,046.10 ",$889.21 ,Comet TWS8035S 8.7gpm @3500psi 1750 rpm 24mm shaft
11300-Z6L-010,$483.20 ,$362.40 ,Crankcase Cover Assy for Honda 690
11324,$125.00 ,$100.00 ,Optional GX390 Electric Start w/18 Amp Charging in lieu of 3amp
