Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fill in your catalog information below. Avoid some of the most common errors by making sure: 1) each row contains an item name; 2) an item and its variations have the same category and description; 3) GTINs are 8,12, 13, or 14 characters and contain numbers only; and 4) every item referencing an option set has both an option set name and an option value.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created by Square,Example item,Example item name for customers to see,Small,Ounce 1.000,A12345,100% organic soft cotton t-shirt,"Separate multiple categories with a comma. Indicate subcategories by including their category hierarchy with the greater-than symbol. For example: New arrivals, Women’s > Accessories > Hats & Beanies",Sales of this item will be attributed to the Reporting Category in the category sales report.,Search engine display name,Search engine description,Identifier within a URL. Use hyphens instead of spaces.,653412483659,"Visible, Hidden, Unavailable","Physical, Prepared food and beverage, Digital, Donation, Event, Membership, Other",,Social media link title,Social media link description,,,,,24.99,20.99,Y or N,Y or N,Y or N,Y or N,Y or N,Sizes,Small,12.99,KT's Clothes,ABC123,Y or N,10,15,Y or N,5,$10.99,Y or N,10,15,Y or N,5,$10.99
"Token","Item Name","Customer-facing Name","Variation Name","Unit and Precision","SKU","Description","Categories","Reporting Category","SEO Title","SEO Description","Permalink","GTIN","Square Online Item Visibility","Item Type","Weight (lb)","Social Media Link Title","Social Media Link Description","Shipping Enabled","Self-serve Ordering Enabled","Delivery Enabled","Pickup Enabled","Price","Online Sale Price","Archived","Sellable","Contains Alcohol","Stockable","Skip Detail Screen in POS","Option Name 1","Option Value 1","Default Unit Cost","Default Vendor Name","Default Vendor Code","Enabled AZ Cleaning Supplies","Current Quantity AZ Cleaning Supplies","New Quantity AZ Cleaning Supplies","Stock Alert Enabled AZ Cleaning Supplies","Stock Alert Count AZ Cleaning Supplies","Price AZ Cleaning Supplies","Enabled AZCS","Current Quantity AZCS","New Quantity AZCS","Stock Alert Enabled AZCS","Stock Alert Count AZCS","Price AZCS"
"AMFZCFJEL2QNLY7KUVHJUIH4","(24)A-FRAME HOSE REEL 3/8""x150' 5000PSI","(24)A-FRAME HOSE REEL 3/8""x150' 5000PSI","Regular","","7008","(24)A-FRAME HOSE REEL 3/8""x150' 5000PSI","Barrens, Barrens > Hose Reels & Parts","Barrens","A-FRAME HOSE REEL 3/8""x150' 5000PSI | AZ Cleaning Supplies","A-FRAME HOSE REEL 3/8""x150' 5000PSI. Vendor code: 7008. Available at AZ Cleaning Supplies.","a-frame-hose-reel-3-8-x150-5000psi","","unavailable","Physical","","A-FRAME HOSE REEL 3/8""x150' 5000PSI | AZ Cleaning Supplies","A-FRAME HOSE REEL 3/8""x150' 5000PSI. Vendor code: 7008. Available at AZ Cleaning Supplies.","N","N","N","N","299.99","","N","Y","N","Y","N","","","234.08","Barrens","7008","Y","0","","N","0","299.99","Y","-3","","N","0","299.99"
"QHKQGNB6MMZWJUFL223CH6YP","60A RED 1.00 GPH HOLLOW CONE NOZZLE","60A RED 1.00 GPH HOLLOW CONE NOZZLE","Regular","","1314","60A RED 1.00 GPH HOLLOW CONE NOZZLE","Barrens, Barrens > Nozzles & Injectors, Barrens > Nozzles & Injectors > 201-400","Barrens","60A RED 1.00 GPH HOLLOW CONE NOZZLE | AZ Cleaning Supplies","60A RED 1.00 GPH HOLLOW CONE NOZZLE. Vendor code: 1314. Available at AZ Cleaning Supplies.","60a-red-1-00-gph-hollow-cone-nozzle","","unavailable","Physical","","60A RED 1.00 GPH HOLLOW CONE NOZZLE | AZ Cleaning Supplies","60A RED 1.00 GPH HOLLOW CONE NOZZLE. Vendor code: 1314. Available at AZ Cleaning Supplies.","N","N","N","N","10.99","","N","Y","N","Y","N","","","7.78","Barrens","1314","Y","0","","N","0","10.99","Y","0","","N","0","10.99"
"LK5UBOOJNE74RES22M6NTY4H","60A RED 1.20 GPH HOLLOW CONE NOZZLE","60A RED 1.20 GPH HOLLOW CONE NOZZLE","Regular","","1315","60A RED 1.20 GPH HOLLOW CONE NOZZLE","Barrens, Barrens > Nozzles & Injectors, Barrens > Nozzles & Injectors > 201-400","Barrens","60A RED 1.20 GPH HOLLOW CONE NOZZLE | AZ Cleaning Supplies","60A RED 1.20 GPH HOLLOW CONE NOZZLE. Vendor code: 1315. Available at AZ Cleaning Supplies.","60a-red-1-20-gph-hollow-cone-nozzle","","unavailable","Physical","","60A RED 1.20 GPH HOLLOW CONE NOZZLE | AZ Cleaning Supplies","60A RED 1.20 GPH HOLLOW CONE NOZZLE. Vendor code: 1315. Available at AZ Cleaning Supplies.","N","N","N","N","11.99","","N","Y","N","Y","N","","","8.24","Barrens","1315","Y","0","","N","0","11.99","Y","0","","N","0","11.99"
"JTDMEYFCPKJAGB7VO2VAGDGX","60A RED 1.35 GPH HOLLOW CONE NOZZLE","60A RED 1.35 GPH HOLLOW CONE NOZZLE","Regular","","1316","60A RED 1.35 GPH HOLLOW CONE NOZZLE","Barrens, Barrens > Nozzles & Injectors, Barrens > Nozzles & Injectors > 201-400","Barrens","60A RED 1.35 GPH HOLLOW CONE NOZZLE | AZ Cleaning Supplies","60A RED 1.35 GPH HOLLOW CONE NOZZLE. Vendor code: 1316. Available at AZ Cleaning Supplies.","60a-red-1-35-gph-hollow-cone-nozzle","","unavailable","Physical","","60A RED 1.35 GPH HOLLOW CONE NOZZLE | AZ Cleaning Supplies","60A RED 1.35 GPH HOLLOW CONE NOZZLE. Vendor code: 1316. Available at AZ Cleaning Supplies.","N","N","N","N","10.99","","N","Y","N","Y","N","","","7.78","Barrens","1316","Y","0","","N","0","10.99","Y","0","","N","0","10.99"
"6GZW4PRJSED6R7AKJWGVUMU7","60A RED 1.50 GPH HOLLOW CONE NOZZLE","60A RED 1.50 GPH HOLLOW CONE NOZZLE","Regular","","1317","60A RED 1.50 GPH HOLLOW CONE NOZZLE","Barrens, Barrens > Nozzles & Injectors, Barrens > Nozzles & Injectors > 201-400","Barrens","60A RED 1.50 GPH HOLLOW CONE NOZZLE | AZ Cleaning Supplies","60A RED 1.50 GPH HOLLOW CONE NOZZLE. Vendor code: 1317. Available at AZ Cleaning Supplies.","60a-red-1-50-gph-hollow-cone-nozzle","","unavailable","Physical","","60A RED 1.50 GPH HOLLOW CONE NOZZLE | AZ Cleaning Supplies","60A RED 1.50 GPH HOLLOW CONE NOZZLE. Vendor code: 1317. Available at AZ Cleaning Supplies.","N","N","N","N","10.99","","N","Y","N","Y","N","","","7.78","Barrens","1317","Y","0","","N","0","10.99","Y","0","","N","0","10.99"
"DESJ6K3POLDM43I67PGEMHMN","60A RED 1.75 GPH HOLLOW CONE NOZZLE","60A RED 1.75 GPH HOLLOW CONE NOZZLE","Regular","","1318","60A RED 1.75 GPH HOLLOW CONE NOZZLE","Barrens, Barrens > Nozzles & Injectors, Barrens > Nozzles & Injectors > 201-400","Barrens","60A RED 1.75 GPH HOLLOW CONE NOZZLE | AZ Cleaning Supplies","60A RED 1.75 GPH HOLLOW CONE NOZZLE. Vendor code: 1318. Available at AZ Cleaning Supplies.","60a-red-1-75-gph-hollow-cone-nozzle","","unavailable","Physical","","60A RED 1.75 GPH HOLLOW CONE NOZZLE | AZ Cleaning Supplies","60A RED 1.75 GPH HOLLOW CONE NOZZLE. Vendor code: 1318. Available at AZ Cleaning Supplies.","N","N","N","N","10.99","","N","Y","N","Y","N","","","7.78","Barrens","1318","Y","0","","N","0","10.99","Y","0","","N","0","10.99"
"GYGMQYAWTTW536HDLK7TCLU6","60A RED 4.00 GPH HOLLOW CONE NOZZLE","60A RED 4.00 GPH HOLLOW CONE NOZZLE","Regular","","1320","60A RED 4.00 GPH HOLLOW CONE NOZZLE","Barrens, Barrens > Nozzles & Injectors, Barrens > Nozzles & Injectors > 201-400","Barrens","60A RED 4.00 GPH HOLLOW CONE NOZZLE | AZ Cleaning Supplies","60A RED 4.00 GPH HOLLOW CONE NOZZLE. Vendor code: 1320. Available at AZ Cleaning Supplies.","60a-red-4-00-gph-hollow-cone-nozzle","","unavailable","Physical","","60A RED 4.00 GPH HOLLOW CONE NOZZLE | AZ Cleaning Supplies","60A RED 4.00 GPH HOLLOW CONE NOZZLE. Vendor code: 1320. Available at AZ Cleaning Supplies.","N","N","N","N","16.99","","N","Y","N","Y","N","","","12.01","Barrens","1320","Y","0","","N","0","16.99","Y","0","","N","0","16.99"
"NKEX4SZEW3XMTAEDN6M2JS7D","70A RED 1.00 GPH HOLLOW CONE NOZZLE","70A RED 1.00 GPH HOLLOW CONE NOZZLE","Regular","","1328","70A RED 1.00 GPH HOLLOW CONE NOZZLE","Barrens, Barrens > Nozzles & Injectors, Barrens > Nozzles & Injectors > 201-400","Barrens","70A RED 1.00 GPH HOLLOW CONE NOZZLE | AZ Cleaning Supplies","70A RED 1.00 GPH HOLLOW CONE NOZZLE. Vendor code: 1328. Available at AZ Cleaning Supplies.","70a-red-1-00-gph-hollow-cone-nozzle","","unavailable","Physical","","70A RED 1.00 GPH HOLLOW CONE NOZZLE | AZ Cleaning Supplies","70A RED 1.00 GPH HOLLOW CONE NOZZLE. Vendor code: 1328. Available at AZ Cleaning Supplies.","N","N","N","N","10.99","","N","Y","N","Y","N","","","7.78","Barrens","1328","Y","0","","N","0","10.99","Y","0","","N","0","10.99"
"2CD5JUUQQGFL24GMJNWEIOUW","70A RED 1.50 GPH HOLLOW CONE NOZZLE","70A RED 1.50 GPH HOLLOW CONE NOZZLE","Regular","","1329","70A RED 1.50 GPH HOLLOW CONE NOZZLE","Barrens, Barrens > Nozzles & Injectors, Barrens > Nozzles & Injectors > 201-400","Barrens","70A RED 1.50 GPH HOLLOW CONE NOZZLE | AZ Cleaning Supplies","70A RED 1.50 GPH HOLLOW CONE NOZZLE. Vendor code: 1329. Available at AZ Cleaning Supplies.","70a-red-1-50-gph-hollow-cone-nozzle","","unavailable","Physical","","70A RED 1.50 GPH HOLLOW CONE NOZZLE | AZ Cleaning Supplies","70A RED 1.50 GPH HOLLOW CONE NOZZLE. Vendor code: 1329. Available at AZ Cleaning Supplies.","N","N","N","N","11.99","","N","Y","N","Y","N","","","8.24","Barrens","1329","Y","0","","N","0","11.99","Y","0","","N","0","11.99"
