"VariantBase","ItemName","Action","KeptSku","SKU","Vendor","Price","DefaultUnitCost"
"A FRAME HOSE REEL X PSI","(16)A-FRAME HOSE REEL 3/8""x450' 5000PSI","KEEP","7010","7010","Barrens","329.00","262.46"
"A FRAME HOSE REEL X PSI","(24)A-FRAME HOSE REEL 3/8""x150' 5000PSI","DROP","7010","7008","Barrens","299.99","234.08"
"A RED GPH HOLLOW CONE NOZZLE","80A RED 2.25 GPH HOLLOW CONE NOZZLE","KEEP","1350","1350","Barrens","17.99","12.71"
"A RED GPH HOLLOW CONE NOZZLE","60A RED 1.00 GPH HOLLOW CONE NOZZLE","DROP","1350","1314","Barrens","10.99","7.78"
"A RED GPH HOLLOW CONE NOZZLE","60A RED 1.20 GPH HOLLOW CONE NOZZLE","DROP","1350","1315","Barrens","11.99","8.24"
"A RED GPH HOLLOW CONE NOZZLE","60A RED 1.35 GPH HOLLOW CONE NOZZLE","DROP","1350","1316","Barrens","10.99","7.78"
"A RED GPH HOLLOW CONE NOZZLE","60A RED 1.50 GPH HOLLOW CONE NOZZLE","DROP","1350","1317","Barrens","10.99","7.78"
"A RED GPH HOLLOW CONE NOZZLE","60A RED 1.75 GPH HOLLOW CONE NOZZLE","DROP","1350","1318","Barrens","10.99","7.78"
"A RED GPH HOLLOW CONE NOZZLE","60A RED 4.00 GPH HOLLOW CONE NOZZLE","DROP","1350","1320","Barrens","16.99","12.01"
"A RED GPH HOLLOW CONE NOZZLE","70A RED 1.00 GPH HOLLOW CONE NOZZLE","DROP","1350","1328","Barrens","10.99","7.78"
"A RED GPH HOLLOW CONE NOZZLE","70A RED 1.50 GPH HOLLOW CONE NOZZLE","DROP","1350","1329","Barrens","11.99","8.24"
"A RED GPH HOLLOW CONE NOZZLE","70A RED 1.75 GPH HOLLOW CONE NOZZLE","DROP","1350","1330","Barrens","10.99","7.78"
"A RED GPH HOLLOW CONE NOZZLE","80A RED 1.00 GPH HOLLOW CONE NOZZLE","DROP","1350","1343","Barrens","11.99","8.24"
"A RED GPH HOLLOW CONE NOZZLE","80A RED 1.25 GPH HOLLOW CONE NOZZLE","DROP","1350","1344","Barrens","11.99","8.24"
"A RED GPH HOLLOW CONE NOZZLE","80A RED 1.35 GPH HOLLOW CONE NOZZLE","DROP","1350","1345","Barrens","11.99","8.24"
"A RED GPH HOLLOW CONE NOZZLE","80A RED 1.50 GPH HOLLOW CONE NOZZLE","DROP","1350","1346","Barrens","11.99","8.25"
"A RED GPH HOLLOW CONE NOZZLE","80A RED 1.65 GPH HOLLOW CONE NOZZLE","DROP","1350","1347","Barrens","11.99","8.25"
"A RED GPH HOLLOW CONE NOZZLE","80A RED 1.75 GPH HOLLOW CONE NOZZLE","DROP","1350","1348","Barrens","11.99","8.25"
"A RED GPH HOLLOW CONE NOZZLE","80A RED 2.00 GPH HOLLOW CONE NOZZLE","DROP","1350","1349","Barrens","16.99","12.46"
"A RED GPH HOLLOW CONE NOZZLE","80A RED 2.50 GPH HOLLOW CONE NOZZLE","DROP","1350","1351","Barrens","17.99","12.71"
"A RED GPH HOLLOW CONE NOZZLE","80A RED 2.75 GPH HOLLOW CONE NOZZLE","DROP","1350","1352","Barrens","17.99","12.71"
"A RED GPH HOLLOW CONE NOZZLE","80A RED 3.00 GPH HOLLOW CONE NOZZLE","DROP","1350","1353","Barrens","16.99","12.01"
"A RED GPH HOLLOW CONE NOZZLE","90A RED 1.00 GPH HOLLOW CONE NOZZLE","DROP","1350","1370","Barrens","11.99","8.24"
"A RED GPH HOLLOW CONE NOZZLE","90A RED 1.25 GPH HOLLOW CONE NOZZLE","DROP","1350","1371","Barrens","10.99","7.78"
"A RED GPH HOLLOW CONE NOZZLE","90A RED 1.35 GPH HOLLOW CONE NOZZLE","DROP","1350","1372","Barrens","10.99","7.78"
"A RED GPH HOLLOW CONE NOZZLE","90A RED 1.50 GPH HOLLOW CONE NOZZLE","DROP","1350","1373","Barrens","11.99","8.24"
"A RED GPH HOLLOW CONE NOZZLE","90A RED 1.65 GPH HOLLOW CONE NOZZLE","DROP","1350","1374","Barrens","11.99","8.25"
"A RED GPH HOLLOW CONE NOZZLE","90A RED 1.75 GPH HOLLOW CONE NOZZLE","DROP","1350","1375","Barrens","10.99","7.78"
"A RED GPH HOLLOW CONE NOZZLE","90A RED 2.00 GPH HOLLOW CONE NOZZLE","DROP","1350","1376","Barrens","16.99","12.46"
"A RED GPH HOLLOW CONE NOZZLE","90A RED 2.25 GPH HOLLOW CONE NOZZLE","DROP","1350","1377","Barrens","16.99","12.01"
"A RED GPH HOLLOW CONE NOZZLE","90A RED 2.50 GPH HOLLOW CONE NOZZLE","DROP","1350","1378","Barrens","17.99","12.71"
"A RED GPH HOLLOW CONE NOZZLE","90A RED 3.00 GPH HOLLOW CONE NOZZLE","DROP","1350","1379","Barrens","17.99","12.71"
