ProductCode,Name,Price,Category,Brand,Length,Width,Height,Weight,Barcode,Tags,ShortDescription,Description
"62051","1/2"" male NPT x 1/2"" PTF swiveling Elbow",16.6690,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","","<p>This&nbsp;is a replacement nickel plated brass swiveling elbow fitting.&nbsp; Found on many of Tucker&reg; systems.&nbsp;</p>
<p>1/2"" male NPT x 1/2"" push to fit</p>"
"63045","1/2? X 1/2? Brass RISER",7.5697,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","",""
"63028","1/2in Brass Threaded Coupling",4.7915,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","",""
"62010","1/2in male thread x 1/2in PTF Elbow",11.2925,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","",""
"63031","1/2in Stem x 3/8in Barb 45 deg",3.7118,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","",""
"63029","1/2in x 3/8in Brass Face Bushing",2.5870,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","",""
"ECO-40-EXT","2 Piece Ext Kit w/ Sec ECO-6 and ECO-7",407.1631,"Cycle A","",0.0000,0.0000,0.0000,0.0000,ECO-40-EXT,"","","The Tucker? - ECO-30 extension is a 2 piece lightweight carbon fiber extension designed specifically for the Tucker? ECO-30 poles. 

It comes with the Tucker? clamps that bolt on and carries a 5 YEAR WARRANTY.

This 2 piece extension is added to the base of your Tucker? ECO-30 pole.

This allows you to have an extra 10' of reach.

Built in end protection on each section protects the carbon fiber.

To add this extension, simply remove the end cap from your ECO-30 and slide in into the top section of the extension."
"ECO-50-EXT","2 Piece Ext Kit w/ Sec ECO-8 and ECO-9",524.1382,"Cycle A","",0.0000,0.0000,0.0000,0.0000,ECO-50-EXT,"","","The Tucker? - ECO-40 extension is a 2 piece lightweight carbon fiber extension designed specifically for the Tucker? ECO-40 poles. 

It comes with the Tucker? clamps that bolt on and carries a 5 YEAR WARRANTY.

This 2 piece extension is added to the base of your Tucker? ECO-40 pole.

This allows you to have an extra 10' of reach.

Built in end protection on each section protects the carbon fiber.

To add this extension, simply remove the end cap from your ECO-40 and slide in into the top section of the extension."
"20047-CLR","2.5in x 10in CLEAR Housing w/ 1/2in inlets",86.6065,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","","<p>This is the sediment and carbon filter housing on the Tucker&reg; RO/DI Mobile system as well as the Tucker&reg; RO/DI Fill N Go tank systems.</p>

<p>If you damaged yours, this is the replacement for it.</p>

<p>1/2"" inlet and outlet.</p>

<p>Does not include the filter or the housing wrench.</p>

<p>Great clear option so you can visually see your filters.</p>"
"63027","3/4 FNPTx 3/4 FGHT Brass Swivel",10.9327,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","",""
"63026","3/4 x 3/4 MGHT x MPT",10.5503,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","","<p>This is the brass fitting used for the outlet of the Tucker 3 stage RO/DI cart. If you need a replacement for that fitting, this is it.</p>
<p>3/4"" male NPT x 3/4"" male garden hose thread.</p>"
"63030","3/8in Close Nipple",2.0020,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","",""
"20054-30-SS","30"" Stainless Steel Housing",390.2917,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","","This SKU includes only the housing, and no saddle clamps (12021-A-SS) or decals"
"20054-40-SS","40"" Stainless Steel Housing",390.2917,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","","This SKU includes only the housing, and no saddle clamps (12021-A-SS) or decals"
"T-ALPHA-STD-SCRUB","Alpha Scrubber w/PADS",103.0055,"Cycle A","",0.0000,0.0000,0.0000,0.0000,T-ALPHA-SCRUB,"","","<h1 align=""center"">TUCKER&reg; ALPHA SCRUBBER WATER FED BRUSH - COMMERCIAL GRADE POLYESTER PAD AND RINSE BAR</h1>
<p>The Tucker&reg; Alpha Scrubber is the ultimate commercial grade polyester scrubbing pad for jobs requiring heavy cleaning to remove dried, caked on dirt and grime from any window. The Alpha Scrubber is unique in that it does not have traditional brush bristles and uses a thick scrubbing pad that traps dirt particles and pulls them away from the glass.&nbsp; The over the top rinse bar pours a cascade of water over the top of the brush allowing the water to fan over the glass and quickly rinse any debris from the cleaning area.&nbsp; This allows a fast rinse with minimal effort, saving your body from premature fatigue.&nbsp; The brush includes our proprietary swiveling gooseneck, which allows you to slide the brush across the glass without taking it away from the glass. This kit also comes with 10 replacement pads, giving it a long-life span before needing replacements. This brush is about ease of use, and we think we knocked it out of the park! It comes in two sizes, standard and extra-large. We also offer&nbsp;<a href=""https://tuckerusa.com/10-pack-of-white-pads-for-alpha-scrubber/"">replacement cleaning pads</a>&nbsp;and velcro to keep your investment functioning for a lifetime!&nbsp;</p>
<p>Product Details:</p>
<ul>
<li>Made In USA</li>
<li>Over the Top Rinse Bar</li>
<li>Euro Threaded Socket</li>
<li>5/16&rdquo; OD Tubing Connector</li>
<li>Includes (10) Polyester Scrubbing Pads</li>
</ul>
<p>Specs:</p>
<ul>
<li>Standard Brush: 11""W x 3""H - UPC: 810058070180</li>
<li>Extra Large Brush: 17""W x 3""H - UPC: 810058070197</li>
</ul>
<p><iframe src=""https://www.youtube.com/embed/0fLwUMQmEGQ"" width=""560"" height=""314"" allowfullscreen=""allowfullscreen"" data-mce-fragment=""1""></iframe></p>"
"T-Clamp Barrel","Barrel only for aluminum clamp body",6.1525,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","",""
"12013","Battery Hold-Down",45.0916,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","",""
"T-VALVE-BRACKET","Bracket for Bypass Valve",22.4952,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","",""
"Bracket-wide clamp","Bracket for Saddle Clamp",28.1078,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","",""
"T-GHS-BRASS","Brass Garden Hose Splitter",31.5833,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","","<p>This brass heavy duty garden hose splitter will allow you to divert water from one source to two.</p>

<p>Put this fitting on the output of your water system to allow for 2 operators.</p>

<p>Built in valves make it easy to adjust flow.</p>"
"T-9/10BR-CF","Butt Ring for Tucker CF Pole-Fits Sec 9 and 10",20.4932,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","",""
"63042","Check Valve 1/2""",25.2171,"Cycle A","",0.0000,0.0000,0.0000,0.0000,,"","",""
