SKU,Item Name,Customer-facing Name,Default Vendor Name,Reporting Category,Default Vendor Code,Default Unit Cost,Current Selling Price,Current Gross Margin %,Current Markup %,Suggested Selling Price,Suggested Gross Margin %,Suggested Markup %,Target Gross Margin %,Minimum Dollar Profit,Cost Band,Strategy Tags,Rounding Profile,Pricing Rule,Pricing Action,Pricing Notes,Strategy Notes,Sales Demand Tier,Sales Lines,Sales Quantity Sold,Sales Net Sales,Average Realized Unit Price,Sales Signal Trusted,Sales Match Types,Sales Pricing Note,Last Price Update Date,Last Price Update Reason,Override Notes
1000,MV HI-LO VARIABLE NOZZLE 3.5 WHITE DOT,MV HI-LO VARIABLE NOZZLE 3.5,Barrens,Barrens,1000,16.90,,,,22.99,26.5%,36.0%,24.0%,4.50,10-19.99,commodity_part,ending_.99,10-19.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 10-19.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1001,MV HI-LO VARIABLE NOZZLE 4.0 BLUE DOT,MV HI-LO VARIABLE NOZZLE 4.0,Barrens,Barrens,1001,16.90,,,,22.99,26.5%,36.0%,24.0%,4.50,10-19.99,commodity_part,ending_.99,10-19.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 10-19.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1002,MV HI-LO VARIABLE NOZZLE 4.5 ORANGE DOT,MV HI-LO VARIABLE NOZZLE 4.5,Barrens,Barrens,1002,16.90,,,,22.99,26.5%,36.0%,24.0%,4.50,10-19.99,commodity_part,ending_.99,10-19.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 10-19.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1003,MV HI-LO VARIABLE NOZZLE 5.0 LT GRN DOT,MV HI-LO VARIABLE NOZZLE 5.0,Barrens,Barrens,1003,16.90,,,,22.99,26.5%,36.0%,24.0%,4.50,10-19.99,commodity_part,ending_.99,10-19.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 10-19.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1004,MV HI-LO VARIABLE NOZZLE 5.5 BLACK DOT 204008080,MV HI-LO VARIABLE NOZZLE 5.5,Barrens,Barrens,1004,16.90,,,,22.99,26.5%,36.0%,24.0%,4.50,10-19.99,commodity_part,ending_.99,10-19.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 10-19.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1005,MV HI-LO VARIABLE NOZZLE 6.0 GRAY DOT,MV HI-LO VARIABLE NOZZLE 6.0,Barrens,Barrens,1005,16.90,,,,22.99,26.5%,36.0%,24.0%,4.50,10-19.99,commodity_part,ending_.99,10-19.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 10-19.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1006,KIT 2167 WATER SEALS SJV,KIT 2167 WATER SEALS SJV,Barrens,Barrens,1006,19.67,,,,27.99,29.7%,42.3%,29.0%,4.50,10-19.99,bundle,ending_.99,10-19.99 + bundle,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 10-19.99. Bundle or bulk packaging gets a modest premium.,,,,,,,,,,,
1013,ST-51N ADJUSTABLE NOZZLE HOLDER,ST-51N ADJUSTABLE NOZZLE HOLDER,Barrens,Barrens,1013,18.97,,,,24.99,24.1%,31.7%,24.0%,4.50,10-19.99,commodity_part,ending_.99,10-19.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 10-19.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1014,BRASS 1/4 VEEJET 6520 SOAPER NOZZLE,BRASS 1/4 VEEJET 6520 SOAPER NOZZLE,Barrens,Barrens,1014,3.02,,,,5.99,49.6%,98.3%,33.0%,2.00,0-4.99,"chemical, commodity_part",ending_.99,0-4.99 + chemical + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99. Chemical/restoration products carry a stronger margin target. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1018,"(10)FLOAT TANK WITH LID, PLASTIC, 1 GAL.","FLOAT TANK WITH LID, PLASTIC, 1 GAL.",Barrens,Barrens,1018,12.47,,,,17.99,30.7%,44.3%,27.0%,4.50,10-19.99,,ending_.99,10-19.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 10-19.99.,,,,,,,,,,,
1019,FLOAT VALVE PLASTIC 3/4M WITH FLOAT,FLOAT VALVE PLASTIC 3/4M WITH FLOAT,Barrens,Barrens,1019,15.11,,,,20.99,28.0%,38.9%,27.0%,4.50,10-19.99,,ending_.99,10-19.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 10-19.99.,,,,,,,,,,,
1021,491056 BRIGGS ORIG. EQUIP. OIL FILTER,491056 BRIGGS ORIG. EQUIP. OIL FILTER,Barrens,Barrens,1021,9.48,,,,13.99,32.2%,47.6%,28.0%,3.00,5-9.99,,ending_.99,5-9.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99.,,,,,,,,,,,
1025,"3000 PSI 1/2""x25' BLACK NEPTUNE HOSE","3000 PSI 1/2""x25' BLACK NEPTUNE HOSE",Barrens,Barrens,1025,86.93,,,,114.99,24.4%,32.3%,24.0%,10.00,50-99.99,,ending_.99,50-99.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 50-99.99.,,,,,,,,,,,
1028,"3/4"" x 20' PVC CLEARBRAID HOSE (NOT FOR SALE)","3/4"" x 20' PVC CLEARBRAID HOSE (NOT FOR SALE)",Barrens,Barrens,1028,20.62,,,,27.99,26.3%,35.7%,25.0%,7.00,20-49.99,,ending_.99,20-49.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99.,,,,,,,,,,,
1029,REPAIR KIT FOR DK-3.5 DIRT KILLER,REPAIR KIT FOR DK-3.5 DIRT KILLER,Barrens,Barrens,1029,79.83,,,,103.99,23.2%,30.3%,23.0%,10.00,50-99.99,"bundle, commodity_part",ending_.99,50-99.99 + bundle + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 50-99.99. Bundle or bulk packaging gets a modest premium. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1030,DK-3.5 TAN DIRT KILLER NOZZLE 3200PSI,DK-3.5 TAN DIRT KILLER NOZZLE 3200PSI,Barrens,Barrens,1030,106.06,,,,134.99,21.4%,27.3%,19.0%,16.00,100-249.99,commodity_part,ending_5_minus_.01,100-249.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1031,REPAIR KIT FOR DK-5.5 DIRT KILLER,REPAIR KIT FOR DK-5.5 DIRT KILLER,Barrens,Barrens,1031,79.83,,,,103.99,23.2%,30.3%,23.0%,10.00,50-99.99,"bundle, commodity_part",ending_.99,50-99.99 + bundle + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 50-99.99. Bundle or bulk packaging gets a modest premium. Commodity replacement parts stay more competitive.,,,,,,,,,,,
1032,DK-5.5 BLACK DIRT KILLER NOZZLE 3200PSI,DK-5.5 BLACK DIRT KILLER NOZZLE 3200PSI,Barrens,Barrens,1032,106.06,,,,134.99,21.4%,27.3%,19.0%,16.00,100-249.99,commodity_part,ending_5_minus_.01,100-249.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
