enrichment_type,vendor,sku,vendor_code,item_name,field,value,source,details
verified_override,BE,B4013HABG,B4013HABG,"PW, GAS, 389CC, 4000PSI@4.0GPM HONDA GX390, GEN TSS1511, TRIPLEX, EXT UNLDR, 088A ALUM BELT FRM. WQL/RB: B42",GTIN,777987330993,,Corrected from a malformed source GTIN using the BE product listing.
catalog_cross_reference,Barrens,1164,1164,480440 O-RING INLET FITTING ON GYMATIC,GTIN,777897189476,BE,Matched on token 480440 from BE SKU 480440 (ORING [GTIN 777897189476]).
catalog_cross_reference,Barrens,1617,1617,52040009 CERAMIC PISTON 15mm 37.5mm long,GTIN,777897160864,BE,"Matched on token 52040009 from BE SKU 52040009 (PISTON, CERAMIC - 15MM GP)."
catalog_cross_reference,Barrens,1622,1622,47040409 CERAMIC PISTON 20mm,GTIN,777897161601,BE,"Matched on token 47040409 from BE SKU 47040409 (PISTON, SINGLE)."
catalog_cross_reference,Barrens,1732,1732,701002 O-RING VALVE CAP (OLD 90384700),GTIN,777897161663,BE,"Matched on token 701002 from BE SKU 701002 (O'RING, 90 DURO, BUNA-N)."
catalog_cross_reference,Barrens,2431,2431,90169000 OIL SEAL,GTIN,777897161403,BE,"Matched on token 90169000 from BE SKU 90169000 (SEAL, OIL (EZ3040G))."
catalog_cross_reference,Barrens,2457,2457,98210600 OIL DIP STICK W/O-RING,GTIN,777897267099,BE,"Matched on token 98210600 from BE SKU 98210600 (DIPSTICK, PUMP FOR TSS-1511 GENERAL PUMP)."
catalog_cross_reference,Barrens,2459,2459,98210300 OIL DIP STICK (SHORT),GTIN,777897131734,BE,"Matched on token 98210300 from BE SKU 98210300 (CAP, OIL, PUMP, GP, w/DIPSTICK)."
catalog_cross_reference,Barrens,3064,3064,AR1470210 O-RING,GTIN,777897230741,BE,"Matched on token AR1470210 from BE SKU AR1470210 (O-RING, 9x1 FOR AR JRV, RSV PUMPS)."
catalog_cross_reference,Barrens,3312,3312,44211801 SPACER/SIGHT GLASS EZ SERIES,GTIN,777897161625,BE,"Matched on token 44211801 from BE SKU 44211801 (SIGHT GLASS, EZ)."
catalog_cross_reference,Barrens,3369,3369,90357200 (701501) VITON O-RING,GTIN,777897159288,BE,"Matched on token 90357200 from BE SKU 90357200 (O'RING, 208X .070 FOR TT9071 PUMP)."
catalog_cross_reference,Barrens,3388,3388,880130 OIL DIP STICK,GTIN,777897230277,BE,"Matched on token 880130 from BE SKU 880130 (OIL CAP, PUMP, AR, RCV/RSV/RRV w/DIP STICK)."
