vendor,sku,vendor_code,item_name,image_relative_path,image_absolute_path,match_type,source_folder,details
MPWSR,1366,1366,80B BLUE 3.00 GPH SOLID CONE NOZZLE,Images\Manatee images\80B BLUE 3.00 GPH SOLID CONE NOZZLE.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\80B BLUE 3.00 GPH SOLID CONE NOZZLE.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 80B BLUE 3.00 GPH SOLID CONE NOZZLE.
Barrens,1395,1395,K7.3 UNLOADER 6.6-10.8 GPM 3500PSI,Images\Manatee images\K7.3 Unloader 6.6-10.8Gpm 3500Psi.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\K7.3 Unloader 6.6-10.8Gpm 3500Psi.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from K7.3 UNLOADER 6.6-10.8 GPM 3500PSI.
MPWSR,1523,1523,SUNTEC 12VDC COIL (GREEN),Images\Manatee images\SUNTEC 12VDC COIL (GREEN).jpg,C:\Codex\AZCS Inventory\Images\Manatee images\SUNTEC 12VDC COIL (GREEN).jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from SUNTEC 12VDC COIL (GREEN).
MPWSR,24.0095,24.0095,Garden hose washer,Images\Manatee images\Garden hose washer.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Garden hose washer.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Garden hose washer.
Barrens,2077,2077,"BRASS ALLEN HEAD PLUG 1/4""",Images\Manatee images\BRASS ALLEN HEAD PLUG 14.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\BRASS ALLEN HEAD PLUG 14.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from BRASS ALLEN HEAD PLUG 1/4""."
MPWSR,28106L,28106L,Brass bushing 1/2'' mpt x 1/4''fpt,Images\Manatee images\BRASS BUSHING 12 MPT X 14 FPT.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\BRASS BUSHING 12 MPT X 14 FPT.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Brass bushing 1/2'' mpt x 1/4''fpt.
MPWSR,2115,2115,Brass hex nipple 3/4 mpt x 1/2 mpt,Images\Manatee images\34MPT x 12MPT Brass Hex Nipple.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\34MPT x 12MPT Brass Hex Nipple.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 3/4MPT x 1/2MPT Brass Hex Nipple.
Barrens,2274,2274,FGH x FGH SWIVEL ADAPTER,Images\Manatee images\FGH x FGH Swivel Adapter.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\FGH x FGH Swivel Adapter.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from FGH x FGH SWIVEL ADAPTER.
Barrens,3031,3031,"SH 1 1/8"" BUSHING",Images\Manatee images\SH-1 18 BUSHING.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\SH-1 18 BUSHING.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from SH 1 1/8"" BUSHING."
MPWSR,3081,3081,48911 66DX SERIES OIL SEAL (NEED 3/PUMP),Images\Manatee images\48911 66DX SERIES OIL SEAL (NEED 3PUMP).jpg,C:\Codex\AZCS Inventory\Images\Manatee images\48911 66DX SERIES OIL SEAL (NEED 3PUMP).jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 48911 66DX SERIES OIL SEAL (NEED 3/PUMP).
Barrens,3214,3214,PUSH ON HOSE BARB 1/4 HOSE X 1/4 MPT,Images\Manatee images\PUSH ON HOSE BARB 14 HOSE X 14 MPT.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\PUSH ON HOSE BARB 14 HOSE X 14 MPT.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from PUSH ON HOSE BARB 1/4 HOSE X 1/4 MPT.
Barrens,3220,3220,PUSH ON HOSE BARB 1/2 HOSE X 3/8 MPT,Images\Manatee images\PUSH ON HOSE BARB 12 HOSE X 38 MPT.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\PUSH ON HOSE BARB 12 HOSE X 38 MPT.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from PUSH ON HOSE BARB 1/2 HOSE X 3/8 MPT.
Barrens,5137,5137,REPAIR KIT FOR VRT3-310 UNLOADER,Images\Manatee images\REPAIR KIT FOR VRT3-310 UNLOADER.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\REPAIR KIT FOR VRT3-310 UNLOADER.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from REPAIR KIT FOR VRT3-310 UNLOADER.
Barrens,6311,6311,(120)22mm SCREW COUPLER X 1/4 FPT,Images\Manatee images\22mm SCREW COUPLER X 14 FPT.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\22mm SCREW COUPLER X 14 FPT.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 22mm SCREW COUPLER X 1/4 FPT.
Barrens,6359,6359,(100)22mm SCREW COUPLER X 22mm SCREW COUPLER,Images\Manatee images\22mm SCREW COUPLER X 22mm SCREW COUPLER.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\22mm SCREW COUPLER X 22mm SCREW COUPLER.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 22mm SCREW COUPLER X 22mm SCREW COUPLER.
Barrens,6531,6531,MTM HI-LO VARIABLE 3.0 (1.1mm) NOZZLE WHITE DOT,Images\Manatee images\MTM HI-LO VARIABLE 3.0 (1.1mm) NOZZLE WHITE DOT.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\MTM HI-LO VARIABLE 3.0 (1.1mm) NOZZLE WHITE DOT.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from MTM HI-LO VARIABLE 3.0 (1.1mm) NOZZLE WHITE DOT.
Barrens,6532,6532,MTM HI-LO VARIABLE NOZZLE 3.5 (1.2mm) YELLOW DOT,Images\Manatee images\MTM HI-LO VARIABLE NOZZLE 3.5 (1.2mm) YELLOW DOT.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\MTM HI-LO VARIABLE NOZZLE 3.5 (1.2mm) YELLOW DOT.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from MTM HI-LO VARIABLE NOZZLE 3.5 (1.2mm) YELLOW DOT.
MPWSR,020002515,020002515,Nozzle Holder Slide on,Images\Manatee images\Nozzle Holder Slide on.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Nozzle Holder Slide on.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Nozzle Holder Slide on.
MPWSR,050C,050C,"3/4"" Female Coupler x 1/2"" Hose Shank Camlock",Images\Manatee images\34 Female Coupler x 12 Hose Shank Camlock.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\34 Female Coupler x 12 Hose Shank Camlock.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from 3/4"" Female Coupler x 1/2"" Hose Shank Camlock."
MPWSR,06-RDAIR-BTF,06-RD AIR-BTF,"3/8"" Red Air Hose 300psi 06-RD-REEL-500 (per ft)",Images\Manatee images\06-RD AIR-BTF.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\06-RD AIR-BTF.jpg,manatee_exact_code,Manatee images,Matched local image filename on exact code token 06-RD AIR-BTF.
MPWSR,066042000750,066 042 000 750,Polychain Sprocket Set Screw,Images\Manatee images\Ploychain Sproket set screw.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Ploychain Sproket set screw.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Ploychain Sproket set screw.
MPWSR,070003048,070003048,"ST-001 SS Lance 12""",Images\Manatee images\ST-001 SS Lance 12.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\ST-001 SS Lance 12.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from ST-001 SS Lance 12""."
MPWSR,070006008,070006008,"ST-001 SS Lance 24""",Images\Manatee images\ST-001 SS Lance 24.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\ST-001 SS Lance 24.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from ST-001 SS Lance 24""."
MPWSR,075B,075B,"3/4"" F x 3/4"" MPT Camlock",Images\Manatee images\34 F x 34 MPT Camlock.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\34 F x 34 MPT Camlock.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from 3/4"" F x 3/4"" MPT Camlock."
MPWSR,075C,075C,"3/4"" F Coupler x 3/4"" Hose Barb",Images\Manatee images\34 F Coupler x 34 Hose Barb.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\34 F Coupler x 34 Hose Barb.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from 3/4"" F Coupler x 3/4"" Hose Barb."
MPWSR,075F,075F,"Male Adapter 3/4"" x 3/4"" Barb",Images\Manatee images\Male Adapter 34 x 34 Barb.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Male Adapter 34 x 34 Barb.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from Male Adapter 3/4"" x 3/4"" Barb."
MPWSR,080032008,080032008,"1/4"" 25ft Hose 3000 PSI M22xM22",Images\Manatee images\14 25ft Hose 3000 PSI M22 x M22.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\14 25ft Hose 3000 PSI M22 x M22.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from 1/4"" 25ft Hose 3000 PSI M22xM22."
MPWSR,080191BE,080191BE,Diesel Fuel Cap,Images\Manatee images\Diesel Fuel Cap.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Diesel Fuel Cap.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Diesel Fuel Cap.
MPWSR,"1/2""JICSWIVEL","1/2"" JIC Swivel",1/2 JIC Swivel for Block Mount Unloader,Images\Manatee images\12 JIC Swivel for Block Mount Unloader.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\12 JIC Swivel for Block Mount Unloader.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 1/2 JIC Swivel for Block Mount Unloader.
MPWSR,10.5004,10.5004,MTM Hydro Inline Spray Gun 10GPM 5000PSI,Images\Manatee images\MTM Hydro Inline Spray Gun 10GPM 5000PSI.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\MTM Hydro Inline Spray Gun 10GPM 5000PSI.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from MTM Hydro Inline Spray Gun 10GPM 5000PSI.
MPWSR,100VERTSTRAPSET,100 Vert Strap Set,100 gallon vertical tank strap set Aluminum,Images\Manatee images\100 Gallon Vertical Tank Aluminum Bands.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\100 Gallon Vertical Tank Aluminum Bands.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 100 Gallon Vertical Tank Aluminum Bands.
MPWSR,100-005,100-005,Honda GX 690 660 630 air filter,Images\Manatee images\Honda GX 690 660 630 air filter.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Honda GX 690 660 630 air filter.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Honda GX 690 660 630 air filter.
MPWSR,100-673,100-673,Air Filter Briggs,Images\Manatee images\Air Filter Briggs.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Air Filter Briggs.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Air Filter Briggs.
MPWSR,100-955,100-955,B&S diamond air filter foam,Images\Manatee images\B&S diamond air filter foam.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\B&S diamond air filter foam.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from B&S diamond air filter foam.
