Matched Master SKU,Matched Item Name,Default Vendor Name,Reporting Category,Catalog Price,Default Unit Cost,Sales Lines,Distinct Sales Items,Quantity Sold,Gross Sales,Discounts,Net Sales,Average Realized Unit Price,First Sale Date,Last Sale Date,Sales Categories Observed,Match Types
TRIDEN-HURRICANE-CAT-5-24-KITS-KIT,Hurricane Cat 5 Full Kit,Trident,Trident,569.00,429.00,112,2,355,212621.00,-9442.89,203178.11,572.33,2025-03-19,2026-03-16,Trident,exact_name
TDS-HURRICAT5H,Hurricane Cat 5 Half Kit,Trident,Trident,304.00,250.00,60,1,73,23290.89,-331.04,22959.85,314.52,2025-03-20,2026-03-14,Trident,manual_override
TRIDEN-TIDAL-WAVE-SPRAY-5-GALLON-PAIL,Tidal Wave Spray - 5 Gallon Pail,Trident,Trident,437.50,371.25,34,1,53,22499.94,-163.85,22336.09,421.44,2025-04-23,2026-02-10,Trident,exact_base_name
EACOCH-HOT-STAIN-REMOVER-5-GALLON-PAIL,Hot Stain Remover - 5 Gallon Pail,EacoChem,EacoChem,153.30,84.85,75,2,114,19059.80,-125.66,18934.14,166.09,2025-03-24,2026-03-16,"EaCo Chem, None",exact_base_name_pack
TRIDEN-BREAK-WALL-5-GALLON-PAIL,Break Wall - 5 Gallon Pail,Trident,Trident,263.75,200.00,29,1,61,15979.88,-30.48,15949.40,261.47,2025-04-08,2026-03-17,Trident,exact_base_name
TRIDEN-TIDAL-WAVE-GEL-5-GALLON-PAIL,Tidal Wave Gel - 5 Gallon Pail,Trident,Trident,437.50,371.25,26,2,29,12299.97,-141.63,12158.34,419.25,2025-04-01,2026-02-16,Trident,exact_base_name
MGD-1030HG,MGD-1030HG: Manatee Gear Drive 10GPM @3000 PSI w/ GX690 and General TSF2221 Pump,MPWSR,MPWSR,3999.99,3599.99,2,1,3,11250.00,0.00,11250.00,3750.00,2025-10-16,2025-10-23,None,exact_name
TDS-CYCLONEP,Cyclone - 5 Gallon Pail,Trident,Trident,245.00,186.25,28,1,41,10069.95,-17.30,10052.65,245.19,2025-04-08,2026-02-09,Trident,exact_base_name
TDS-TSUNAMIP,Tsunami - 5 Gallon Pail,Trident,Trident,323.75,247.50,17,1,29,9715.00,0.00,9715.00,335.00,2025-03-27,2026-01-12,Trident,exact_base_name
HW3524HA12V,"PW, HOT, 3500PSI, 8.5GPM AR XW3028N, GX690, 12VDC, SKID",BE,BE,,7748.00,1,1,1,8550.00,0.00,8550.00,8550.00,2025-12-11,2025-12-11,Equipment,manual_override
EACOCH-C-TAR-MELT-5-GALLON-PAIL,C-Tar Melt - 5 Gallon Pail,EacoChem,EacoChem,234.85,171.40,14,1,32,8172.99,0.00,8172.99,255.41,2025-03-27,2026-01-20,EaCo Chem,exact_base_name_pack
HW3024HG12V,"PW, HOT, 3000PSI, 8GPM GP TSF2021, GX690, SKID",BE,BE,,7937.00,1,1,1,8000.00,0.00,8000.00,8000.00,2025-11-11,2025-11-11,Equipment,exact_code
RCCT-7710TU-7,77 x 10 Tandem Axle Utility Trailer - No Ramp,RCCT,RCCT,3975.00,,2,1,2,7950.00,0.00,7950.00,3975.00,2025-11-11,2025-12-11,None,manual_override
EACOCH-NMD-80-5-GALLON-PAIL,NMD 80® - 5 Gallon Pail,EacoChem,EacoChem,91.85,50.84,17,1,60,7490.00,-116.09,7373.91,122.90,2025-04-28,2026-01-09,EaCo Chem,exact_base_code_pack
EACOCH-EC-101-WB-5-GALLON-PAIL,EC 101 WB - 5 Gallon Pail,EacoChem,EacoChem,179.20,99.20,1,1,36,7163.64,0.00,7163.64,198.99,2025-12-30,2025-12-30,Sealer,exact_base_name_pack
1007-24624,EBC Multipurpose Cleaner and Degreaser - 55 Gallon Kit,EnviroBioCleaner,EnviroBioCleaner,850.00,,8,1,8,6600.00,0.00,6600.00,825.00,2025-03-24,2026-02-11,EBC,manual_override
T-CART-RIVAL,Tucker Rival RO/DI Cart,Tucker,Tucker,2308.85,1616.20,2,2,3,5754.00,-201.34,5552.66,1850.89,2025-05-30,2025-10-28,Tucker,manual_override
EACOCH-CLEANSOL-BC-5-GALLON-PAIL,Cleansol BC - 5 Gallon Pail,EacoChem,EacoChem,141.25,78.20,16,1,28,4241.97,-1.55,4240.42,151.44,2025-03-26,2026-03-02,EaCo Chem,exact_base_name_pack
EACOCH-HOT-STAIN-REMOVER-1-GALLON,Hot Stain Remover - 1 Gallon,EacoChem,EacoChem,38.55,21.10,52,2,94,4339.84,-110.22,4229.62,45.00,2025-03-23,2026-03-04,"EaCo Chem, None","exact_base_name_pack, exact_name"
EACOCH-HOT-STAIN-REMOVER-55-GALLON-DRUM,Hot Stain Remover - 55 Gallon Drum,EacoChem,EacoChem,1316.00,728.50,2,1,3,4209.98,0.00,4209.98,1403.33,2025-10-15,2026-02-23,EaCo Chem,exact_base_name_pack
RAMP206-100,"RAMP206-100: RAMPAGE BEAST 100' Smooth Gray 3/8"" Double Wire 7300 PSI High Pressure Hose",MPWSR,MPWSR,209.99,114.79,12,1,20,4199.80,-17.11,4182.69,209.13,2025-06-16,2026-02-13,Manatee,exact_sku
KR1A18E,Kings Electric Hose Reel 18in Aluminum,MPWSR,MPWSR,819.00,756.00,2,1,5,4100.00,0.00,4100.00,820.00,2025-10-23,2025-12-11,None,exact_name
TRIDEN-WIPE-OUT-5-GALLON-PAIL,Wipe Out - 5 Gallon Pail,Trident,Trident,197.50,147.50,29,2,40,3850.47,0.00,3850.47,96.26,2025-03-25,2026-03-09,Trident,exact_base_name
TRIDEN-SEA-WALL-5-GALLON-PAIL,Sea Wall - 5 Gallon Pail,Trident,Trident,365.00,280.00,7,1,10,3619.98,0.00,3619.98,362.00,2025-04-16,2026-01-22,Trident,exact_base_name
F9GK-P-5,F9 Groundskeeper - 5 Gallon Pail,Front9,Front9,212.50,,24,2,27,3618.00,0.00,3618.00,134.00,2025-04-10,2026-03-10,F9,"exact_base_name, manual_override"
9712612,Truck Mount Skid CRX680,MPWSR,MPWSR,3500.00,,1,1,1,3500.00,0.00,3500.00,3500.00,2025-04-02,2025-04-02,Equipment,manual_override
99012V,BE Hotbox 8-10 GPM,MPWSR,MPWSR,3899.99,2999.99,1,1,1,3350.00,0.00,3350.00,3350.00,2025-10-23,2025-10-23,None,exact_name
TDJ-JOINTINGGRA,Joint Sand - Grey - 50 lb bag,Trident,Trident,11.50,10.00,22,1,138,3208.50,-32.01,3176.49,23.02,2025-04-04,2026-03-06,Sand,manual_override
6651,"(9)BIG GUY 28"" SC HYDRO-FLOW ALUM W/WHEELS 2-TIP",Barrens,Barrens,,1149.80,2,1,2,3020.75,0.00,3020.75,1510.38,2025-06-17,2025-10-23,Tools,exact_sku
F9EF-P-5,F9 Efflorescence and Calcium Remover - 5 Gallon Pail,Front9,Front9,212.50,,13,1,15,3000.00,-16.29,2983.71,198.91,2025-04-08,2026-02-19,F9,manual_override
