Sales Category,Sales Item,Sales SKU,Sales GTIN,Sales Lines,Quantity Sold,Gross Sales,Discounts,Net Sales,First Sale Date,Last Sale Date,Match Type,Match Accepted,Match Score,Second Best Score,Matched Master SKU,Matched Catalog Item,Matched Vendor,Matched Catalog Price,Matched Catalog Cost,Match Reason,Top Candidate 1 Score,Top Candidate 1 Item,Top Candidate 1 SKU,Top Candidate 1 Vendor,Top Candidate 1 Reason,Top Candidate 2 Score,Top Candidate 2 Item,Top Candidate 2 SKU,Top Candidate 2 Vendor,Top Candidate 2 Reason,Top Candidate 3 Score,Top Candidate 3 Item,Top Candidate 3 SKU,Top Candidate 3 Vendor,Top Candidate 3 Reason
None,RCCT- 7710TU-7,177942N,,2,2,7950.00,0.00,7950.00,2025-11-11,2025-12-11,unmatched,N,0.215,0.195,,,,,,,0.215,Sprocket 10 Tooth,MPWSR-SPROCKET-10-TOOTH,MPWSR,,0.195,Rocker for GC 160 Ex,14441-Z0J-000,MPWSR,,0.192,"LOCKNUT 1/4""",2264,Barrens,
Tucker,Tucker H2Pro,838290Z,,1,1,4138.00,0.00,4138.00,2025-05-14,2025-05-14,unmatched,N,0.234,0.234,,,,,,category fit,0.234,Bulb Changer Kit with Pole,48450,JRacenstein,category fit,0.234,Bucket Super Handle Ettore,JRACEN-SUPER-BUCKET-HANDLE,JRacenstein,category fit,0.234,Bucket Super Caster Ettore,85200,JRacenstein,category fit
Tucker,RIVAL RO/DI Cart,T-Cart-RIVAL,,1,2,3804.00,-201.34,3602.66,2025-10-28,2025-10-28,unmatched,N,0.325,0.314,,,,,,category fit,0.325,All Purpose Window Cleaning Kit,17050,JRacenstein,category fit,0.314,Universal Window Cleaning Kit,JRACEN-UNIVERSAL-WINDOW-CLEANING-KIT,JRacenstein,category fit,0.314,Total Glass Care Kit,JRACEN-TOTAL-GLASS-CARE-KIT,JRacenstein,category fit
Equipment,Truck Mount Skid CRX680,9712612,,1,1,3500.00,0.00,3500.00,2025-04-02,2025-04-02,unmatched,N,0.306,0.285,,,,,,1 shared tokens,0.306,The Manatee Skid BARE,PWF125,MPWSR,1 shared tokens,0.285,GP REEL MOUNT KIT,7259,Barrens,1 shared tokens,0.283,"FRAME, STEEL, TRUCK MOUNT BELT DRIVE",85.600.238,BE,2 shared tokens
Chemicals,Sodium Hydroxide 50 lbs.,L498970,,19,17,2550.00,-26.51,2523.49,2025-04-18,2026-02-25,unmatched,N,0.443,0.422,,,,,,"1 shared tokens, category fit",0.443,SOS-50 - 1 Gallon,EACOCH-SOS-50-1-GALLON,EacoChem,"1 shared tokens, category fit",0.422,Joint Sand - Platinum - 50 lb bag,TDJ-JOINTINGPLA,Trident,"1 shared tokens, category fit",0.420,Joint Sand - Grey - 50 lb bag,TDJ-JOINTINGGRA,Trident,"1 shared tokens, category fit"
Tucker,Tucker 30 Water Fed Pole,895856K,,3,4,2560.00,-67.75,2492.25,2025-05-30,2026-02-05,unmatched,N,0.369,0.361,,,,,,"1 shared tokens, category fit",0.369,"30"" Curved Aluminum Floor Squeegee",55040,JRacenstein,"1 shared tokens, category fit",0.361,"Master Rubber, 30"" [Case 144]",49890,JRacenstein,"1 shared tokens, category fit",0.360,"Aluminum Super Curved Floor Squeegees, 30""",55037,JRacenstein,"1 shared tokens, category fit"
None,525 Gallon Horizontal Leg Tank in White,,,2,2,2250.00,0.00,2250.00,2025-10-23,2025-12-11,unmatched,N,0.539,0.531,,,,,,3 shared tokens,0.539,525 Gallon Poly Tank - No Bands,TNK525,MPWSR,3 shared tokens,0.531,525 Gallon Poly Tank - Gal Straps,TNK525-BS,MPWSR,3 shared tokens,0.372,Hoops Bands for 525 poly tank need 2 per tank,ST6210,MPWSR,2 shared tokens
Equipment,EB4040HG-20,6222110,,1,1,2150.00,0.00,2150.00,2025-08-19,2025-08-19,unmatched,N,0.249,0.242,,,,,,1 shared tokens,0.249,"FLOAT VALVE ROD 1/4-20 x 8""",1548,Barrens,1 shared tokens,0.242,"FLOAT VALVE BRASS ROD 1/4-20 x 2""",1547,Barrens,1 shared tokens,0.237,14179 O-RING BUNA-N [2.4 X 20.8],3736,Barrens,1 shared tokens
Tucker,Tucker Rival,X138060,,1,1,1950.00,0.00,1950.00,2025-05-30,2025-05-30,unmatched,N,0.294,0.290,,,,,,category fit,0.294,Bucket Super Lid Ettore,85100,JRacenstein,category fit,0.290,Pole Adapter Universal Ettore,45006,JRacenstein,category fit,0.288,Scrapemaster Handle,JRACEN-SCRAPEMASTER-HANDLE,JRacenstein,category fit
Tucker,Tucker 50 HM Water Fed Pole,1953421,,1,1,1880.00,0.00,1880.00,2026-02-19,2026-02-19,unmatched,N,0.344,0.310,,,,,,"1 shared tokens, category fit",0.344,Ettore Grip-n-Grab Tool 50 inch,49150,JRacenstein,"1 shared tokens, category fit",0.310,Bulb Changer Kit with Pole,48450,JRacenstein,"1 shared tokens, category fit",0.272,Cobweb Brush with Pole,45221,JRacenstein,"1 shared tokens, category fit"
