Catalog SKU,Catalog Item Name,Export SKU,Export Item Name,Match Type,Source Location,Source Current Quantity Column,Seeded New Quantity Column,Seeded Quantity
55008,90 MPT x MPT Elbow Steel 1/2,55008,1/2 MPT 90 degree Steel Elbow,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
540486,1/2 X 3/8 HEX NIPPLE,540486,1/2 X 3/8 HEX NIPPLE,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,8
AJU08-08MPS,"1/2"" Hose x 1/2"" M Pipe Swivel Crimp",AJ08-08MPS,1/2 hose x 1/2 M Pipe Swivel Crimp,item_name,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,4
24.0065,"1/2"" FPT ss socket",24.0065,"1/2"" FPT ss socket",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,6
24.0066,"1/2"" MPT ss socket",24.0066,"1/2"" MPT ss socket",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,5
1815,(250)GP QC 15055 YELLOW NOZZLE,1815,"1/4"" GP Quick Nozzle 15 Degree",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-2
1820,GP QC 25055 GREEN NOZZLE,1820,"1/4"" GP Quick Nozzle 25 Degree",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
1825,GP QC 40055 WHITE NOZZLE,1825,"1/4"" GP Quick Nozzle 40 Degree",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-8
1151,1/4 MEG 1502 WASHJET SPRAY NOZZLE,1151,"1/4"" MEG 1502",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,25
1687,1/4 MEG 15025 WASHJET SPRAY NOZZLE,1687,"1/4"" MEG 15025",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,12
1150,1/4 MEG 1503 WASHJET SPRAY NOZZLE,1150,"1/4"" MEG 1503",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,18
1148,1/4 MEG 15035 WASHJET SPRAY NOZZLE,1148,"1/4"" MEG 15035",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,28
1146,1/4 MEG 1504 WASHJET SPRAY NOZZLE,1146,"1/4"" MEG 1504",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,8
1145,1/4 MEG 15045 WASHJET SPRAY NOZZLE,1145,"1/4"" MEG 15045",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,20
1143,1/4 MEG 1505 WASHJET SPRAY NOZZLE,1143,"1/4"" MEG 1505",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,10
1142,1/4 MEG 15055 WASHJET SPRAY NOZZLE,1142,"1/4"" MEG 15055",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,21
1141,1/4 MEG 1506 WASHJET SPRAY NOZZLE,1141,"1/4"" MEG 1506",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,10
1768,1/4 MEG 2502 WASHJET SPRAY NOZZLE,1768,"1/4"" MEG 2502",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-2
2812,1/4 MEG 25025 WASHJET SPRAY NOZZLE,2812,"1/4"" MEG 25025",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-3
1769,1/4 MEG 2503 WASHJET SPRAY NOZZLE,1769,"1/4"" MEG 2503",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-5
1125,1/4 MEG 25035 WASHJET SPRAY NOZZLE,1125,"1/4"" MEG 25035",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,18
1122,1/4 MEG 25045 WASHJET SPRAY NOZZLE,1122,"1/4"" MEG 25045",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,9
1121,1/4 MEG 2505 WASHJET SPRAY NOZZLE,1121,"1/4"" MEG 2505",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,4
1119,1/4 MEG 25055 WASHJET SPRAY NOZZLE,1119,"1/4"" MEG 25055",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,24
1118,1/4 MEG 2506 WASHJET SPRAY NOZZLE,1118,"1/4"" MEG 2506",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
3235,1/4 MEG 4002 WASHJET SPRAY NOZZLE,3235,"1/4"" MEG 4002",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,13
1771,1/4 MEG 40035 WASHJET SPRAY NOZZLE,1771,"1/4"" MEG 40035",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
1104,1/4 MEG 4004 WASHJET SPRAY NOZZLE,1104,"1/4"" MEG 4004",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,9
1103,1/4 MEG 40045 WASHJET SPRAY NOZZLE,1103,"1/4"" MEG 40045",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,5
1102,1/4 MEG 4005 WASHJET SPRAY NOZZLE,1102,"1/4"" MEG 4005",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,10
1100,1/4 MEG 40055 WASHJET SPRAY NOZZLE,1100,"1/4"" MEG 40055",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,8
1099,1/4 MEG 4006 WASHJET SPRAY NOZZLE,1099,"1/4"" MEG 4006",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,9
3788,1/4 MEG 6504 WASHJET SPRAY NOZZLE,3788,"1/4"" MEG 6504",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,1
3790,1/4 MEG 6505 WASHJET SPRAY NOZZLE,3790,"1/4"" MEG 6505",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
3792,1/4 MEG 6506 WASHJET SPRAY NOZZLE,3792,"1/4"" MEG 6506",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-1
3795,1/4 MEG 6508 WASHJET SPRAY NOZZLE,3795,"1/4"" MEG 6508",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,-2
2308,GP 1/4 MPT 1503 SPRAY NOZZLE,2308,"1/4"" MPT Nozzle 1503",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,18
1398,"(50)AL352 MOLDED GRIP 12"" LANCE",1398,"12"" Zinc Plated Lance",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,4
1299,"(20)PA PRESSURE SWITCH 1/4""MPT 15 AMP",1299,"1299- Pressure Switch 1/4"" MPT 250v 15amp, Activates at 580 PSI, 4050 PSI Max",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,5
1559,"INLINE GAS FILTER 5/16"" CLEAR PLASTIC",1559,1559- 5/16 Plastic Fuel Filter,sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
6730,"16"" WATER BROOM W/O NOZZLES",6730,"16"" water broom w/o nozzles",sku,AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZCS,2
