Batch Number,Batch Row,Square Token,Reference Handle,SKU,Square Item Name,Square Variation Name,Catalog Item Name,Customer-facing Name,Reporting Category,Default Vendor Name,Local Image Filename,Local Image Relative Path,Local Image Absolute Path,Website Image URL
1,1,J2J5EXRW6NW4ZXW6QMVPT3U2,#-crated-spot-free-ro-di-50-gallon-dual-user-150-,T-50-PRO-DU-150,*CRATED* Spot Free RO/DI 50 Gallon Dual User 150,,Spot Free RO/DI 50 Gallon Dual User 150,Tucker® Fill N Go - Dual User,Tucker,Tucker,T-50-PRO-DU-150.jpeg,Images\Tucker images\T-50-PRO-DU-150.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-PRO-DU-150.jpeg,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/tucker-fill-n-go-dual-user-263640.jpg?v=1746393039
1,2,EMX3BLVNGRGJ24JVNMETGRAO,#-crated-spot-free-ro-di-50-gallon-single-user-150-,T-50-PRO-SU-150,*CRATED* Spot Free RO/DI 50 Gallon Single User 150,,Spot Free RO/DI 50 Gallon Single User 150,Tucker® Fill N Go - Single User,Tucker,Tucker,T-50-PRO-SU-150.jpeg,Images\Tucker images\T-50-PRO-SU-150.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-PRO-SU-150.jpeg,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/tucker-fill-n-go-single-user-127937.jpg?v=1746393046
1,3,W43LVB6EVOVUABBFCXOQ2CWT,#0-160-psi-pressure-gauge-liquid-filled-,12003-A,0-160 psi Pressure Gauge ..Liquid Filled,,0-160 psi Pressure Gauge Liquid Filled,Pressure Gauge,Tucker,Tucker,12003-A.png,Images\Tucker images\12003-A.png,C:\Codex\AZCS Inventory\Images\Tucker images\12003-A.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/pressure-gauge-9660458.png?v=1771283594
1,4,JOPTY6DCOA3X6D7OELYJS6NY,#1-cubic-foot-of-tucker-di-resin-in-bucket-,20007,1 cubic foot of Tucker DI resin in Bucket,,1 cubic foot of Tucker DI resin in Bucket,One Cubic Foot of Virgin DI Resin,Tucker,Tucker,20007.png,Images\Tucker images\20007.png,C:\Codex\AZCS Inventory\Images\Tucker images\20007.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/one-cubic-foot-of-virgin-di-resin-809381.jpg?v=1746392946
1,5,WWUWBOZOTIN6LI5GTOK5YRHH,#1-2-black-tubing-per-10-foot-length--,60027-10,1/2 Black Tubing (per 10 foot length),,1/2 Black Tubing (per 10 foot length),"Tucker® Black Tuff Tubing 1/2"" OD (10 foot each)",Tucker,Tucker,60027-10.png,Images\Tucker images\60027-10.png,C:\Codex\AZCS Inventory\Images\Tucker images\60027-10.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/tucker-black-tuff-tubing-12-od-10-foot-each-585342.jpg?v=1746392704
1,6,5HU5ABIHBVKNEF2JUOYBGU5H,#1-2-brass-nipple-close-,63016,1/2 Brass Nipple Close,,1/2 Brass Nipple Close,1/2 Brass Nipple Close,Tucker,Tucker,63016.png,Images\Tucker images\63016.png,C:\Codex\AZCS Inventory\Images\Tucker images\63016.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/12-brass-nipple-close-629737.jpg?v=1746392140
1,7,RJWJVJQN6FSOVZUONK7M5Q6L,#1-2-brass-plug-,63017,1/2 Brass Plug,,1/2 Brass Plug,1/2 Brass Plug,Tucker,Tucker,63017.png,Images\Tucker images\63017.png,C:\Codex\AZCS Inventory\Images\Tucker images\63017.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/12-brass-plug-7381081.png?v=1752311550
1,8,FWUL5PUGLRNPI3RKBA5WQ7N4,#1-2-brass-street-elbow-,63005,1/2 Brass Street Elbow,,1/2 Brass Street Elbow,1/2 Brass Street Elbow,Tucker,Tucker,63005.png,Images\Tucker images\63005.png,C:\Codex\AZCS Inventory\Images\Tucker images\63005.png,
1,9,YIMFIRZKD2AVYQ7S3TCCTSBQ,#1-2-brass-tee-,63020,1/2 Brass Tee,,1/2 Brass Tee,1/2 Brass Tee,Tucker,Tucker,63020.png,Images\Tucker images\63020.png,C:\Codex\AZCS Inventory\Images\Tucker images\63020.png,
1,10,6BEJDUKQZGUQYM5B44S3ZFGH,#1-2-cubic-foot-of-tucker-di-resin-in-bucket-,20007.5,1/2 cubic foot of Tucker DI resin in Bucket,,1/2 cubic foot of Tucker DI resin in Bucket,One Half Cubic Foot of Virgin DI Resin,Tucker,Tucker,20007.5.png,Images\Tucker images\20007.5.png,C:\Codex\AZCS Inventory\Images\Tucker images\20007.5.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/one-half-cubic-foot-of-virgin-di-resin-615372.jpg?v=1746392670
1,11,BFCKH5PRAC62RVXRHCGSZI7J,#1-2-elbow-threaded-brass-fnpt--,62027,1/2 Elbow Threaded BRASS (FNPT)..,,1/2 Elbow Threaded BRASS (FNPT),1/2 Elbow Threaded BRASS (FNPT),Tucker,Tucker,62027.png,Images\Tucker images\62027.png,C:\Codex\AZCS Inventory\Images\Tucker images\62027.png,
1,12,7SS7AU24NVQXU267VT7KGJYS,#1-2-female-x-3-4-female-ght-,63009,1/2 female x 3/4 female GHT,,1/2 female x 3/4 female GHT,"1/2"" FNPT x FGH Swivel Inlet",Tucker,Tucker,63009.png,Images\Tucker images\63009.png,C:\Codex\AZCS Inventory\Images\Tucker images\63009.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/12-fnpt-x-fgh-swivel-inlet-247483.jpg?v=1746392867
1,13,TZF4FYXRR5CCFSIFV67CGD45,#1-2-female-x-3-4-male-ght-,63010,1/2 female x 3/4 male GHT,,1/2 female x 3/4 male GHT,"Outlet 1/2"" FNPT x 3/4"" MGHT",Tucker,Tucker,63010.png,Images\Tucker images\63010.png,C:\Codex\AZCS Inventory\Images\Tucker images\63010.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/12-fnpt-x-34-mght-318831.jpg?v=1746392877
1,14,IPBTG2L3C5O3IDSX7FRMN5LW,#1-2-hp-motor-dual-phase-,12023,1/2 hp Motor Dual Phase,,1/2 hp Motor Dual Phase,1/2 hp Motor Dual Phase,Tucker,Tucker,12023.png,Images\Tucker images\12023.png,C:\Codex\AZCS Inventory\Images\Tucker images\12023.png,
1,15,Z7EME2J2IUMLOBMSN7QSHOBX,#1-2-male-thread-x-1-2-ptf-metal-,62002-M,1/2 male thread x 1/2 PTF Metal,,1/2 male thread x 1/2 PTF Metal,1/2 male thread x 1/2 PTF Metal,Tucker,Tucker,62002-M.png,Images\Tucker images\62002-M.png,C:\Codex\AZCS Inventory\Images\Tucker images\62002-M.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/12-mpt-x-12-ptf-496580.jpg?v=1746392894
1,16,JWZ5EIKRRUSPFFVO37TZXU2Z,#1-2-male-thread-x-1-2-ptf-plastic-,62002-P,1/2 male thread x 1/2 PTF Plastic,,1/2 male thread x 1/2 PTF Plastic,1/2 male thread x 1/2 PTF Plastic,Tucker,Tucker,62002-P.png,Images\Tucker images\62002-P.png,C:\Codex\AZCS Inventory\Images\Tucker images\62002-P.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/12-mpt-x-12-ptf-plastic-524755.jpg?v=1746392675
