Batch Number,Batch Row,SKU,Item Name,Customer-facing Name,Reporting Category,Default Vendor Name,Default Vendor Code,Local Image Filename,Local Image Relative Path,Local Image Absolute Path,Website Image URL,Has Local Image,Has Website Image,Has Any Image
,,T-3/8-150-YL,150 foot Yellow 3/8 Hose with Garden Hose Fittings,"150' Length of Yellow 3/8"" ID Spot Free Hose",Tucker,Tucker,T-3/8-150-YL,,,,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/150-length-of-yellow-38-id-spot-free-hose-422288.jpg?v=1746393069,N,Y,Y
,,20025/26,2.5in x 10in Sediment/Carbon Filter,"2.5 x 10"" Sediment / Carbon Combo Filter",Tucker,Tucker,20025/26,,,,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/25-x-10-sediment-carbon-combo-filter-334736.jpg?v=1746392602,N,Y,Y
,,T-3/8-300-YL,300 foot Yellow 3/8 Hose with Garden Hose Fittings,"300' Length of Yellow 3/8"" ID Spot Free Hose",Tucker,Tucker,T-3/8-300-YL,,,,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/300-length-of-yellow-38-id-spot-free-hose-408626.jpg?v=1746392142,N,Y,Y
,,T-3/8-5-RD,5 Foot RED bypass 3/8 Hose with Garden Hose Fittings,5 Foot RED bypass 3/8 Hose with Garden Hose Fittings,Tucker,Tucker,T-3/8-5-RD,,,,,N,N,N
,,"5/16""-OD-TUCKER®-POLE-HOSE","5/16"" OD Tucker® Pole Hose","5/16"" OD Tucker® Pole Hose",Tucker,Tucker,"5/16""-OD-TUCKER®-POLE-HOSE",,,,,N,N,N
,,T-9/10BR-CF,Butt Ring for Tucker CF Pole-Fits Sec 9 and 10,Butt Ring for Tucker CF Pole-Fits Sec 9 and 10,Tucker,Tucker,T-9/10BR-CF,,,,,N,N,N
,,80006-W/TEES,"Dual Probe TDS Meter DM2, 1/2 Tees",In-line TDS Meter - Dual Probe,Tucker,Tucker,80006-W/TEES,,,,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/in-line-tds-meter-dual-probe-962325.jpg?v=1746393087,N,Y,Y
,,LRA/5,Lichen Removal Agent 1.3 Gal (5L),Lichen Removal Agent 1.3 Gal (5L),Tucker,Tucker,LRA/5,,,,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/lichen-removal-agent-13-gal-5l-3988103.png?v=1753306100,N,Y,Y
,,STAINLESS-STEEL-CARBON/DI-FILTER-HOUSING-UPGR,Stainless Steel Carbon/DI Filter Housing Upgrade,Stainless Steel Carbon/DI Filter Housing Upgrade,Tucker,Tucker,STAINLESS-STEEL-CARBON/DI-FILTER-HOUSING-UPGR,,,,,N,N,N
,,TUCKER®-SKID-MOUNT-RO/DI-SYSTEM,Tucker® Skid Mount RO/DI System,Tucker® Skid Mount RO/DI System,Tucker,Tucker,TUCKER®-SKID-MOUNT-RO/DI-SYSTEM,,,,,N,N,N
,,62014-BV-5/16,Union Ball Valve 5/16OD x 5/16OD,"Inline Ball Valve for 5/16"" Pole Tubing",Tucker,Tucker,62014-BV-5/16,,,,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/inline-ball-valve-for-516-pole-tubing-185162.jpg?v=1746393092,N,Y,Y
