Batch Number,Batch Row,SKU,Item Name,Customer-facing Name,Reporting Category,Default Vendor Name,Default Vendor Code,Local Image Filename,Local Image Relative Path,Local Image Absolute Path,Website Image URL,Has Local Image,Has Website Image,Has Any Image
,,T-50-HM-1-WC,#1 Section for 50HMw/ clamp,#1 Section for 50HMw/clamp,Tucker,Tucker,T-50-HM-1-WC,T-50-HM-1-WC.png,Images\Tucker images\T-50-HM-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-1-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/1-section-for-50hmwclamp-5492087.png?v=1763493563,Y,Y,Y
,,T-22-HY-1-WC,#1 Section for BRAVOw/ clamp,#1 Section for BRAVOw/clamp,Tucker,Tucker,T-22-HY-1-WC,T-22-HY-1-WC.png,Images\Tucker images\T-22-HY-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-22-HY-1-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/1-section-for-bravowclamp-4099845.png?v=1763493564,Y,Y,Y
,,T-30-CF-1-WC,#1 Section for ECO 30w/ Clamp,#1 Section for Tucker®-30,Tucker,Tucker,T-30-CF-1-WC,T-30-CF-1-WC.png,Images\Tucker images\T-30-CF-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-30-CF-1-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/1-section-for-bravowclamp-4099845.png?v=1763493564,Y,Y,Y
,,T-40-CF-1-WC,#1 Section for ECO 40w/ Clamp,#1 Section for Tucker-40,Tucker,Tucker,T-40-CF-1-WC,T-40-CF-1-WC.png,Images\Tucker images\T-40-CF-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-40-CF-1-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/1-section-for-tucker-40-7522122.png?v=1763493564,Y,Y,Y
,,T-15-HY-1-WC,#1 Section for Juniorw/ clamp,#1 Section for Juniorw/clamp,Tucker,Tucker,T-15-HY-1-WC,T-15-HY-1-WC.png,Images\Tucker images\T-15-HY-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-15-HY-1-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/1-section-for-juniorwclamp-3882009.png?v=1763493562,Y,Y,Y
,,T-12-FG-1-WC,#1 Section for SIDEKICKw/ Clamp,#1 Section for SIDEKICKw/Clamp,Tucker,Tucker,T-12-FG-1-WC,T-12-FG-1-WC.png,Images\Tucker images\T-12-FG-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-12-FG-1-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/1-section-for-sidekickwclamp-9130025.png?v=1763493565,Y,Y,Y
,,T-27-CF-1-WC,#1 Section for SOLAR BOOSTw/ Clamp,#1 Section for SOLAR BOOSTw/Clamp,Tucker,Tucker,T-27-CF-1-WC,T-27-CF-1-WC.png,Images\Tucker images\T-27-CF-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-27-CF-1-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/1-section-for-solar-boostwclamp-2353202.png?v=1763493565,Y,Y,Y
,,T-CF-EXT-WC,#10 CF Pole Extension with Clamp,Tucker® 50 extension,Tucker,Tucker,T-CF-EXT-WC,T-CF-EXT-WC.png,Images\Tucker images\T-CF-EXT-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-CF-EXT-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/tucker-10-modular-extension-176713.jpg?v=1746392649,Y,Y,Y
,,T-50-HM-2-WC,#2 Section for 50HMw/ clamp,#2 Section for 50HMw/clamp,Tucker,Tucker,T-50-HM-2-WC,T-50-HM-2-WC.png,Images\Tucker images\T-50-HM-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-2-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/2-section-for-50hmwclamp-3067998.png?v=1763493563,Y,Y,Y
,,T-22-HY-2-WC,#2 Section for BRAVOw/ clamp,#2 Section for BRAVOw/clamp,Tucker,Tucker,T-22-HY-2-WC,T-22-HY-2-WC.png,Images\Tucker images\T-22-HY-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-22-HY-2-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/2-section-for-tucker-40-4254073.png?v=1763493563,Y,Y,Y
,,T-30-CF-2-WC,#2 Section for ECO 30w/ Clamp,#2 Section for Tucker®-30,Tucker,Tucker,T-30-CF-2-WC,T-30-CF-2-WC.png,Images\Tucker images\T-30-CF-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-30-CF-2-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/2-section-for-tucker-40-4254073.png?v=1763493563,Y,Y,Y
,,T-40-CF-2-WC,#2 Section for ECO 40w/ Clamp,#2 Section for Tucker®-40,Tucker,Tucker,T-40-CF-2-WC,T-40-CF-2-WC.png,Images\Tucker images\T-40-CF-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-40-CF-2-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/2-section-for-tucker-40-4254073.png?v=1763493563,Y,Y,Y
,,T-15-HY-2-WC,#2 Section for Juniorw/ clamp,#2 Section for Juniorw/clamp,Tucker,Tucker,T-15-HY-2-WC,T-15-HY-2-WC.png,Images\Tucker images\T-15-HY-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-15-HY-2-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/2-section-for-juniorwclamp-6670336.png?v=1763493563,Y,Y,Y
,,T-12-FG-2-WC,#2 Section for SIDEKICKw/ Clamp,#2 Section for SIDEKICKw/Clamp,Tucker,Tucker,T-12-FG-2-WC,T-12-FG-2-WC.png,Images\Tucker images\T-12-FG-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-12-FG-2-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/2-section-for-sidekickwclamp-1120497.png?v=1763493566,Y,Y,Y
,,T-27-CF-2-WC,#2 Section for SOLAR BOOSTw/ Clamp,#2 Section for SOLAR BOOSTw/Clamp,Tucker,Tucker,T-27-CF-2-WC,T-27-CF-2-WC.png,Images\Tucker images\T-27-CF-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-27-CF-2-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/2-section-for-solar-boostwclamp-2746098.png?v=1763493563,Y,Y,Y
,,T-15-FG-3-WC,#3 Base Section for Juniorw/ clamp,#3 Base Section for Juniorw/clamp,Tucker,Tucker,T-15-FG-3-WC,T-15-FG-3-WC.png,Images\Tucker images\T-15-FG-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-15-FG-3-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/3-base-section-for-juniorwclamp-3122810.png?v=1763493565,Y,Y,Y
,,T-12-FG-3-WC,#3 Base Section for SIDEKICKw/ Clamp,#3 Base Section for SIDEKICKw/Clamp,Tucker,Tucker,T-12-FG-3-WC,T-12-FG-3-WC.png,Images\Tucker images\T-12-FG-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-12-FG-3-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/3-base-section-for-sidekickwclamp-9610230.png?v=1763493566,Y,Y,Y
,,T-50-HM-3-WC,#3 Section for 50HMw/ clamp,#3 Section for 50HMw/clamp,Tucker,Tucker,T-50-HM-3-WC,T-50-HM-3-WC.png,Images\Tucker images\T-50-HM-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-3-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/3-section-for-50hmwclamp-4209591.png?v=1763493564,Y,Y,Y
,,T-22-HY-3-WC,#3 Section for BRAVOw/ clamp,#3 Section for BRAVOw/clamp,Tucker,Tucker,T-22-HY-3-WC,T-22-HY-3-WC.png,Images\Tucker images\T-22-HY-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-22-HY-3-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/3-section-for-tucker-30-8223834.png?v=1763493564,Y,Y,Y
,,T-30-CF-3-WC,#3 Section for ECO 30w/ Clamp,#3 Section for Tucker®-30,Tucker,Tucker,T-30-CF-3-WC,T-30-CF-3-WC.png,Images\Tucker images\T-30-CF-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-30-CF-3-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/3-section-for-tucker-30-8223834.png?v=1763493564,Y,Y,Y
,,T-40-CF-3-WC,#3 Section for ECO 40w/ Clamp,#3 Section for Tucker®-40,Tucker,Tucker,T-40-CF-3-WC,T-40-CF-3-WC.png,Images\Tucker images\T-40-CF-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-40-CF-3-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/3-section-for-tucker-40-4591171.png?v=1763493564,Y,Y,Y
,,T-27-CF-3-WC,#3 Section for SOLAR BOOSTw/ Clamp,#3 Section for SOLAR BOOSTw/Clamp,Tucker,Tucker,T-27-CF-3-WC,T-27-CF-3-WC.png,Images\Tucker images\T-27-CF-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-27-CF-3-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/3-section-for-solar-boostwclamp-2998982.png?v=1763493564,Y,Y,Y
,,T-50-HM-4-WC,#4 Section for 50HMw/ clamp,#4 Section for 50HMw/clamp,Tucker,Tucker,T-50-HM-4-WC,T-50-HM-4-WC.png,Images\Tucker images\T-50-HM-4-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-4-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/4-section-for-50hmwclamp-7043176.png?v=1763493562,Y,Y,Y
,,T-22-HY-4-WC,#4 Section for BRAVOw/ clamp,#4 Section for BRAVOw/clamp,Tucker,Tucker,T-22-HY-4-WC,T-22-HY-4-WC.png,Images\Tucker images\T-22-HY-4-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-22-HY-4-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/4-section-for-bravowclamp-6638003.png?v=1763493564,Y,Y,Y
,,T-30-CF-4-WC,#4 Section for ECO 30w/ Clamp,#4 Section for Tucker®-30,Tucker,Tucker,T-30-CF-4-WC,T-30-CF-4-WC.png,Images\Tucker images\T-30-CF-4-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-30-CF-4-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/4-section-for-tucker-30-6618969.png?v=1763493564,Y,Y,Y
,,T-40-CF-4-WC,#4 Section for ECO 40w/ Clamp,#4 Section for Tucker®-40,Tucker,Tucker,T-40-CF-4-WC,T-40-CF-4-WC.png,Images\Tucker images\T-40-CF-4-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-40-CF-4-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/4-section-for-tucker-40-4264219.png?v=1763493563,Y,Y,Y
