Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZ Cleaning Supplies,Stock Alert Enabled AZ Cleaning Supplies,Stock Alert Count AZ Cleaning Supplies,Price AZ Cleaning Supplies,Enabled AZCS,Current Quantity AZCS,New Quantity AZCS,Stock Alert Enabled AZCS,Stock Alert Count AZCS,Price AZCS
,MV HI-LO VARIABLE NOZZLE 3.5 WHITE DOT,MV HI-LO VARIABLE NOZZLE 3.5 WHITE DOT,Regular,,1000,MV HI-LO VARIABLE NOZZLE 3.5 WHITE DOT,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,16.90,Barrens,1000,,,,,,,,,,,,
,MV HI-LO VARIABLE NOZZLE 4.0 BLUE DOT,MV HI-LO VARIABLE NOZZLE 4.0 BLUE DOT,Regular,,1001,MV HI-LO VARIABLE NOZZLE 4.0 BLUE DOT,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,16.90,Barrens,1001,,,,,,,,,,,,
,MV HI-LO VARIABLE NOZZLE 4.5 ORANGE DOT,MV HI-LO VARIABLE NOZZLE 4.5 ORANGE DOT,Regular,,1002,MV HI-LO VARIABLE NOZZLE 4.5 ORANGE DOT,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,16.90,Barrens,1002,,,,,,,,,,,,
,MV HI-LO VARIABLE NOZZLE 5.0 LT GRN DOT,MV HI-LO VARIABLE NOZZLE 5.0 LT GRN DOT,Regular,,1003,MV HI-LO VARIABLE NOZZLE 5.0 LT GRN DOT,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,16.90,Barrens,1003,,,,,,,,,,,,
,MV HI-LO VARIABLE NOZZLE 5.5 BLACK DOT 204008080,MV HI-LO VARIABLE NOZZLE 5.5 BLACK DOT 204008080,Regular,,1004,MV HI-LO VARIABLE NOZZLE 5.5 BLACK DOT 204008080,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,16.90,Barrens,1004,,,,,,,,,,,,
,MV HI-LO VARIABLE NOZZLE 6.0 GRAY DOT,MV HI-LO VARIABLE NOZZLE 6.0 GRAY DOT,Regular,,1005,MV HI-LO VARIABLE NOZZLE 6.0 GRAY DOT,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,16.90,Barrens,1005,,,,,,,,,,,,
,KIT 2167 WATER SEALS SJV,KIT 2167 WATER SEALS SJV,Regular,,1006,KIT 2167 WATER SEALS SJV,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,19.67,Barrens,1006,,,,,,,,,,,,
,ST-51N ADJUSTABLE NOZZLE HOLDER,ST-51N ADJUSTABLE NOZZLE HOLDER,Regular,,1013,ST-51N ADJUSTABLE NOZZLE HOLDER,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,18.97,Barrens,1013,,,,,,,,,,,,
,BRASS 1/4 VEEJET 6520 SOAPER NOZZLE,BRASS 1/4 VEEJET 6520 SOAPER NOZZLE,Regular,,1014,BRASS 1/4 VEEJET 6520 SOAPER NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.02,Barrens,1014,,,,,,,,,,,,
,"(10)FLOAT TANK WITH LID, PLASTIC, 1 GAL.","(10)FLOAT TANK WITH LID, PLASTIC, 1 GAL.",Regular,,1018,"(10)FLOAT TANK WITH LID, PLASTIC, 1 GAL.",Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,12.47,Barrens,1018,,,,,,,,,,,,
