SKU,Item Name,Canonical Token,Duplicate Token,Vendor,Archived In Import
T-50-HM-1-WC,#1 Section for 50HMw/ clamp,HLEWVY2F4FXHJKVLMKHI7GJB,RF7R4FXL6NLPQKCPXVYHPSBN,Tucker,Y
T-22-HY-1-WC,#1 Section for BRAVOw/ clamp,JOFPH4WNRGZCIWBWXSGZXC5M,34C2H63J3ASVY4UZRJLANV2L,Tucker,Y
T-30-CF-1-WC,#1 Section for ECO 30w/ Clamp,7TYUWZHS4XU23XTZBZOQEYOV,B72VNBWL4YH7OGGMWR5KVRFS,Tucker,Y
T-40-CF-1-WC,#1 Section for ECO 40w/ Clamp,HYDOUMJOE4JPN2TYJJXHQJB2,KPRQMGT6DVMPUTQ6RITVHX4O,Tucker,Y
T-15-HY-1-WC,#1 Section for Juniorw/ clamp,TP3T2GXLZIYXOZ7CCIPCXYT6,V577LHDOKPQSBZ2X4JFD6R4Y,Tucker,Y
T-12-FG-1-WC,#1 Section for SIDEKICKw/ Clamp,55HY7X7XCOOLVLLKG2BIJH2T,VKCZ7MMIPLQJPYWRN5EMAL5G,Tucker,Y
T-27-CF-1-WC,#1 Section for SOLAR BOOSTw/ Clamp,3WSH3U3JWGI5QUFZVXLLZQOT,IG7K3VZ7SPOFOJ6IXUUI33IY,Tucker,Y
T-CF-EXT-WC,#10 CF Pole Extension with Clamp,ADQUYIJFNWMN44LLOKRMZ3H5,RQIJQYRGCIYUIBB4MS5TL6NF,Tucker,Y
T-50-HM-2-WC,#2 Section for 50HMw/ clamp,3GMM2JLMMONX5LB5ZFSWROMU,4PHORFF6ABYNVHDK6OKJKGBJ,Tucker,Y
T-22-HY-2-WC,#2 Section for BRAVOw/ clamp,FAIF2SLVLHAHKBJC252M7NT4,ZC72TXN67NBJXGNDBN2YLRWS,Tucker,Y
T-30-CF-2-WC,#2 Section for ECO 30w/ Clamp,KM5WAZMT7LNAEOPPDFEAIER4,AUAM5F4LVCCM65SAJYYAAGVE,Tucker,Y
T-40-CF-2-WC,#2 Section for ECO 40w/ Clamp,VBEGKM2CYJDGSFYR6UAHD2TV,EZRPW3Q66UQDTXZAFRLQM7BE,Tucker,Y
