"Family","RowCount","Has1Gal","Has5Gal","Has55Gal"
"001 4 MEG SURFACECLEANER NOZZLE 6 5 GPM 0 DEGREE 00065","1","False","False","False"
"1 1 2 X 1 1 4 FERNCO","1","False","False","False"
"1 2 304 STAINLESS STEEL ELBOW TITAN REEL","1","False","False","False"
"1 2 600 PSI GLADIATOR FXF NPT BLUE STEEL LEVER","1","False","False","False"
"1 2 BLACK UNISEAL PIPE TO TANK SEAL","1","False","False","False"
"1 2 BRASS PLUG","1","False","False","False"
"1 2 CLOSE NIPPLE SS 304","1","False","False","False"
"1 2 FPT SS PLUG","1","False","False","False"
"1 2 FPT SS SOCKET","1","False","False","False"
"1 2 GRACO ROCK CATCHER","1","False","False","False"
"1 2 INLINE HIGH PRESSURE FILTER SS","1","False","False","False"
"1 2 MPT SS PLUG","1","False","False","False"
"1 2 MPT SS SOCKET","1","False","False","False"
"1 2 NPT X 1 2 SOFTWASH HOSE CRIMP SOLID STAINLESS STEEL SS THY MP 08 08","1","False","False","False"
"1 2 NPT X 1 2 SOFTWASH HOSE CRIMP SWIVEL STAINLESS STEEL SS THY MPX 08 08","1","False","False","False"
"1 2 NPT X 5 8 SOFTWASH HOSE CRIMP SOLID STAINLESS STEEL SS THY MP 10 08","1","False","False","False"
"1 2 NPT X 5 8 SOFTWASH HOSE CRIMP SWIVEL STAINLESS STEEL SS THY MPX 10 08","1","False","False","False"
"1 2 SIAMESE KIT W STAINLESS STEEL QCS","1","False","False","False"
"1 2 SS 45 DEGREE EL","1","False","False","False"
"1 2 TO 1 1 4 HOSE CLAMP SS","1","False","False","False"
"1 304 SS HEX NIPPLE","1","False","False","False"
"1 304 SS TEE","1","False","False","False"
"1 4 BLACK UNISEAL PIPE TO TANK SEAL","1","False","False","False"
"1 4 FPT SS PLUG 4602 SINGLE","1","False","False","False"
"1 4 FPT SS SOCKET 2024 SINGLE","1","False","False","False"
"1 4 INLINE MOSMATIC SWIVEL","1","False","False","False"
"1 4 MEG 0012 NOZZLE SS","1","False","False","False"
"1 4 MEG 0015 NOZZLE SS","1","False","False","False"
"1 4 MEG 0020 NOZZLE SS","1","False","False","False"
"1 4 MEG 0025 NOZZLE SS","1","False","False","False"
"1 4 MEG 0030 NOZZLE SS","1","False","False","False"
"1 4 MEG 0030 WASHJET SPRAY NOZZLE","1","False","False","False"
"1 4 MEG 0035 NOZZLE SS","1","False","False","False"
"1 4 MEG 0040 NOZZLE SS","1","False","False","False"
"1 4 MEG 0040 WASHJET SPRAY NOZZLE","1","False","False","False"
"1 4 MEG 0050 NOZZLE SS","1","False","False","False"
"1 4 MEG 0060 NOZZLE SS","1","False","False","False"
"1 4 MEG 0512 NOZZLE SS","1","False","False","False"
"1 4 MEG 0515 NOZZLE SS","1","False","False","False"
"1 4 MEG 0520 NOZZLE SS","1","False","False","False"
"1 4 MEG 0530 NOZZLE SS","1","False","False","False"
"1 4 MEG 0540 NOZZLE SS","1","False","False","False"
"1 4 MEG 0560 NOZZLE SS","1","False","False","False"
"1 4 MEG 15045 WASHJET SPRAY NOZZLE","1","False","False","False"
"1 4 MEG 1512 NOZZLE SS","1","False","False","False"
"1 4 MEG 1515 NOZZLE SS","1","False","False","False"
"1 4 MEG 1520 NOZZLE SS","1","False","False","False"
"1 4 MEG 1525 NOZZLE SS","1","False","False","False"
"1 4 MEG 1530 NOZZLE SS","1","False","False","False"
"1 4 MEG 1535 NOZZLE SS","1","False","False","False"
"1 4 MEG 1540 NOZZLE SS","1","False","False","False"
"1 4 MEG 2505 WASHJET SPRAY NOZZLE","1","False","False","False"
"1 4 MEG 2512 NOZZLE SS","1","False","False","False"
"1 4 MEG 2515 NOZZLE SS","1","False","False","False"
"1 4 MEG 2520 NOZZLE SS","1","False","False","False"
"1 4 MEG 2525 NOZZLE SS","1","False","False","False"
"1 4 MEG 2530 NOZZLE SS","1","False","False","False"
"1 4 MEG 2535 NOZZLE SS","1","False","False","False"
"1 4 MEG 2540 NOZZLE SS","1","False","False","False"
"1 4 MEG 2560 NOZZLE SS","1","False","False","False"
"1 4 MEG 4012 NOZZLE SS","1","False","False","False"
"1 4 MEG 4013 WASHJET SPRAY NOZZLE","1","False","False","False"
"1 4 MEG 4015 NOZZLE SS","1","False","False","False"
"1 4 MEG 4020 NOZZLE SS","1","False","False","False"
"1 4 MEG 4025 NOZZLE SS","1","False","False","False"
"1 4 MEG 4030 NOZZLE SS","1","False","False","False"
"1 4 MEG 4035 NOZZLE SS","1","False","False","False"
"1 4 MEG 4040 NOZZLE SS","1","False","False","False"
"1 4 MEG 4050 NOZZLE SS","1","False","False","False"
"1 4 MEG 5020 NOZZLE SS","1","False","False","False"
"1 4 MEG 6510 NOZZLE SS","1","False","False","False"
"1 4 MEG 6515 NOZZLE SS","1","False","False","False"
"1 4 MEG 6520 NOZZLE SS","1","False","False","False"
"1 4 MEG 6530 NOZZLE SS","1","False","False","False"
"1 4 MEG SPRAY TIP W VANE 2502","1","False","False","False"
"1 4 MEG SPRAY TIP W VANE 25025","1","False","False","False"
