"NameKey","ItemName","Action","KeptSku","SKU","Price","DefaultUnitCost","DescriptionLength","Vendor"
"0 160 PSI PRESSURE GAUGE LIQUID FILLED","0-160 psi Pressure Gauge Liquid Filled","KEEP","12003-A","12003-A","40.99","28.70","239","Tucker"
"0 RING BUNA N FOR 1 8 QC SOCKETS","0-RING BUNA N FOR 1/8"" QC SOCKETS","KEEP","5732","5732","2.99","0.42","33","Barrens"
"0007 43 OIL SEAL","0007.43 OIL SEAL","KEEP","6083","6083","18.99","13.58","16","Barrens"
"0009 0106 00 BRASS PACKING","0009.0106.00 BRASS PACKING","KEEP","1645","1645","25.99","18.35","26","Barrens"
"001 4 MEG SURFACECLEANER NOZZLE 6 5 GPM 0 DEGREE 00065","001/4 Meg SurfaceCleaner Nozzle 6.5 GPM 0 Degree 00065","KEEP","MPWSR-001-4-MEG-SURFACECLEANER-NOZZLE","MPWSR-001-4-MEG-SURFACECLEANER-NOZZLE","6.60","3.15","400","MPWSR"
"0019 0058 00 19 0103 00 SEALING RING AXDPUMPS","0019.0058.00/19.0103.00 SEALING RING AXDPUMPS","KEEP","3979","3979","6.99","4.90","45","Barrens"
"0019 0075 00 OIL SEAL SHAFT LW","0019.0075.00 OIL SEAL SHAFT LW","KEEP","6243","6243","14.99","10.01","30","Barrens"
"0019 0095 00 OIL SEAL NEED 3 PUMP","0019.0095.00 OIL SEAL (NEED 3/PUMP)","KEEP","1637","1637","6.99","4.71","35","Barrens"
"010003150 PANEL MOUNT NUT ONLY","010003150 PANEL MOUNT NUT ONLY","KEEP","5374","5374","9.99","6.59","30","Barrens"
"012099 REPAIR KIT FOR 22900A SERIES UNLOADERS 229","012099 REPAIR KIT FOR 22900A SERIES UNLOADERS (229","KEEP","3527","3527","30.99","23.06","50","Barrens"
"0202 0022 00 CERAMIC PISTON 18MM","0202.0022.00 CERAMIC PISTON 18mm","KEEP","1867","1867","58.99","44.17","32","Barrens"
"0202 0153 00 PISTON ZW LW 15MM","0202.0153.00 PISTON ZW,LW 15mm","KEEP","4156","4156","50.99","37.72","30","Barrens"
"0205 0046 00 CONNECTING ROD","0205.0046.00 CONNECTING ROD","KEEP","2933","2933","22.99","16.65","27","Barrens"
"04 1205 34 PLUNGER 28MM","04-1205.34 PLUNGER 28mm","KEEP","5538","5538","100.99","76.66","23","Barrens"
"0501 0168 00 DELIVERY MANIFOLD COMPLETE P36 10","0501.0168.00 DELIVERY MANIFOLD COMPLETE P36/10","KEEP","MPWSR-0501-0168-00-DELIVERY-MANIFOLD-C","MPWSR-0501-0168-00-DELIVERY-MANIFOLD-C","120.00","100.00","46","MPWSR"
"0610402 K REPAIR KIT FOR SHUT OFF VALVE","0610402-K REPAIR KIT FOR SHUT-OFF VALVE","KEEP","5437","5437","9.99","6.69","39","Barrens"
"0610403 K REPAIR KIT FOR PUMP","0610403-K REPAIR KIT FOR PUMP","KEEP","5439","5439","8.99","5.29","29","Barrens"
"09108 REPAIR KIT FOR 22760A UNLOADER","09108 REPAIR KIT FOR 22760A UNLOADER","KEEP","3503","3503","8.99","5.77","36","Barrens"
"1 1 2 BULKHEAD","1 1/2"" Bulkhead","KEEP","BTF150","BTF150","24.99","19.91","400","MPWSR"
"1 1 2 CLEAR POLY BRAIDED HOSE 100FT ROLL","1 1/2"" Clear Poly Braided Hose - 100ft Roll","KEEP","RAMP-150-CBH-100","RAMP-150-CBH-100","560.00","315.95","356","MPWSR"
"1 1 2 CLEAR POLY BRAIDED HOSE PER FT","1 1/2"" Clear Poly Braided Hose (per ft)","KEEP","RAMP-150-CBH-BTF","RAMP-150-CBH-BTF","5.60","3.59","37","MPWSR"
"1 1 2 POLY BALL VALVE","1 1/2 Poly Ball Valve","KEEP","BV150","BV150","48.30","38.63","400","MPWSR"
"1 1 2 POLY Y STRAINER 80 MESH","1 1/2"" Poly Y Strainer 80 Mesh","KEEP","BLS15080","BLS15080","102.25","82.63","45","MPWSR"
"1 1 2 PVC BALL VALVE","1 1/2'' PVC ball valve","KEEP","IBVT-112","IBVT-112","17.80","12.00","143","MPWSR"
