Row Number,SKU,Item Name,Image Filename,Local Image Absolute Path,Status
1,T-50-HM-1-WC,#1 Section for 50HMw/ clamp,T-50-HM-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-1-WC.png,copied
2,T-22-HY-1-WC,#1 Section for BRAVOw/ clamp,T-22-HY-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-22-HY-1-WC.png,copied
3,T-30-CF-1-WC,#1 Section for ECO 30w/ Clamp,T-30-CF-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-30-CF-1-WC.png,copied
4,T-40-CF-1-WC,#1 Section for ECO 40w/ Clamp,T-40-CF-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-40-CF-1-WC.png,copied
5,T-15-HY-1-WC,#1 Section for Juniorw/ clamp,T-15-HY-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-15-HY-1-WC.png,copied
6,T-12-FG-1-WC,#1 Section for SIDEKICKw/ Clamp,T-12-FG-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-12-FG-1-WC.png,copied
7,T-27-CF-1-WC,#1 Section for SOLAR BOOSTw/ Clamp,T-27-CF-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-27-CF-1-WC.png,copied
8,T-CF-EXT-WC,#10 CF Pole Extension with Clamp,T-CF-EXT-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-CF-EXT-WC.png,copied
9,T-50-HM-2-WC,#2 Section for 50HMw/ clamp,T-50-HM-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-2-WC.png,copied
10,T-22-HY-2-WC,#2 Section for BRAVOw/ clamp,T-22-HY-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-22-HY-2-WC.png,copied
11,T-30-CF-2-WC,#2 Section for ECO 30w/ Clamp,T-30-CF-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-30-CF-2-WC.png,copied
12,T-40-CF-2-WC,#2 Section for ECO 40w/ Clamp,T-40-CF-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-40-CF-2-WC.png,copied
13,T-15-HY-2-WC,#2 Section for Juniorw/ clamp,T-15-HY-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-15-HY-2-WC.png,copied
14,T-12-FG-2-WC,#2 Section for SIDEKICKw/ Clamp,T-12-FG-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-12-FG-2-WC.png,copied
15,T-27-CF-2-WC,#2 Section for SOLAR BOOSTw/ Clamp,T-27-CF-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-27-CF-2-WC.png,copied
16,T-15-FG-3-WC,#3 Base Section for Juniorw/ clamp,T-15-FG-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-15-FG-3-WC.png,copied
17,T-12-FG-3-WC,#3 Base Section for SIDEKICKw/ Clamp,T-12-FG-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-12-FG-3-WC.png,copied
18,T-50-HM-3-WC,#3 Section for 50HMw/ clamp,T-50-HM-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-3-WC.png,copied
19,T-22-HY-3-WC,#3 Section for BRAVOw/ clamp,T-22-HY-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-22-HY-3-WC.png,copied
20,T-30-CF-3-WC,#3 Section for ECO 30w/ Clamp,T-30-CF-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-30-CF-3-WC.png,copied
21,T-40-CF-3-WC,#3 Section for ECO 40w/ Clamp,T-40-CF-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-40-CF-3-WC.png,copied
22,T-27-CF-3-WC,#3 Section for SOLAR BOOSTw/ Clamp,T-27-CF-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-27-CF-3-WC.png,copied
23,T-50-HM-4-WC,#4 Section for 50HMw/ clamp,T-50-HM-4-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-4-WC.png,copied
24,T-22-HY-4-WC,#4 Section for BRAVOw/ clamp,T-22-HY-4-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-22-HY-4-WC.png,copied
25,T-30-CF-4-WC,#4 Section for ECO 30w/ Clamp,T-30-CF-4-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-30-CF-4-WC.png,copied
26,T-40-CF-4-WC,#4 Section for ECO 40w/ Clamp,T-40-CF-4-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-40-CF-4-WC.png,copied
27,T-27-CF-4-WC,#4 Section for SOLAR BOOSTw/ Clamp,T-27-CF-4-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-27-CF-4-WC.png,copied
28,T-22-FG-5-WC,#5 Base Section for BRAVOw/ clamp,T-22-FG-5-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-22-FG-5-WC.png,copied
29,T-30-FG-5-WC,#5 Base Section for ECO 30w/ Clamp,T-30-FG-5-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-30-FG-5-WC.png,copied
30,T-50-HM-5-WC,#5 Section for 50HMw/ clamp,T-50-HM-5-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-5-WC.png,copied
