Row Number,SKU,Item Name,Image Filename,Local Image Absolute Path,Status
226,T-SOLAR-10041,H2Pro Kit for Solar Panel Cleaning,T-SOLAR-10041.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-SOLAR-10041.png,copied
227,10041-110V-KIT-15,H2Pro Kit w/ Junior and Hose Reel,10041-110V-KIT-15.png,C:\Codex\AZCS Inventory\Images\Tucker images\10041-110V-KIT-15.png,copied
228,10041-110V-KIT-30,H2Pro Kit w/ Tucker-30 and Hose Reel,10041-110V-KIT-30.png,C:\Codex\AZCS Inventory\Images\Tucker images\10041-110V-KIT-30.png,copied
229,80005,Handheld TDS Meter,80005.png,C:\Codex\AZCS Inventory\Images\Tucker images\80005.png,copied
230,T-TNK-HND-COMPLETE,Handle for 1/2 cubic foot DI Tank (assembled),T-TNK-HND-COMPLETE.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-TNK-HND-COMPLETE.png,copied
231,65000,"Handle, Plastic Tapered",65000.png,C:\Codex\AZCS Inventory\Images\Tucker images\65000.png,copied
232,UGK-20ALPHA-SOLAR-HB,Honey Badger Upgrade For 20 Alpha Solar,UGK-20ALPHA-SOLAR-HB.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\UGK-20ALPHA-SOLAR-HB.jpeg,copied
233,12037,Hose Barb Straight 1/2 JG to 3/4,12037.png,C:\Codex\AZCS Inventory\Images\Tucker images\12037.png,copied
234,T-INLINE-GAUGE,Inline Pressure Gauge,T-INLINE-GAUGE.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-INLINE-GAUGE.png,copied
235,80012,In-line TDS Meter Single Probe,80012.png,C:\Codex\AZCS Inventory\Images\Tucker images\80012.png,copied
236,T-ALPHA-SIMUL-KIT,Jet and Rinse Bar Simultaneous Operation Kit for Alpha Brushes,T-ALPHA-SIMUL-KIT.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-ALPHA-SIMUL-KIT.png,copied
237,12012,Large Battery Box,12012.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\12012.jpeg,copied
238,LRA/5,Lichen Removal Agent 1.3 Gal (5L),,,missing
239,LOCT-BTN,Locking button pin for LOCT system,LOCT-BTN.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\LOCT-BTN.jpeg,copied
240,T-GN-V2-LT,LOCT Adjustable Tucker Gooseneck w/ Quick Release for #1 Clamp,T-GN-V2-LT.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-GN-V2-LT.jpeg,copied
241,T-BRUSH-LOCT,"Loct Brush Socket, Black",T-BRUSH-LOCT.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-BRUSH-LOCT.jpeg,copied
242,T-GN-ADJ-LOCT,LOCT end of adjustable Tucker Gooseneck,T-GN-ADJ-LOCT.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-GN-ADJ-LOCT.jpeg,copied
243,40001-V2-LT,LOCT Reach Around Gooseneck w/ Quick Release for #1 Clamp,40001-V2-LT.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\40001-V2-LT.jpeg,copied
244,T-LOCT-TIP,LOCT Tip for #1 Clamp,T-LOCT-TIP.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-LOCT-TIP.jpeg,copied
245,T-LUBE,Lubricant Packet,T-LUBE.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-LUBE.png,copied
246,60040-005,Male and Female Quick connect for pole hose and garden hose,60040-005.png,C:\Codex\AZCS Inventory\Images\Tucker images\60040-005.png,copied
247,MO-MANIFOLD,Manifold for Max output,MO-MANIFOLD.png,C:\Codex\AZCS Inventory\Images\Tucker images\MO-MANIFOLD.png,copied
