Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fill in your catalog information below. Avoid some of the most common errors by making sure: 1) each row contains an item name; 2) an item and its variations have the same category and description; 3) GTINs are 8,12, 13, or 14 characters and contain numbers only; and 4) every item referencing an option set has both an option set name and an option value.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created by Square,Example item,Example item name for customers to see,Small,Ounce 1.000,A12345,100% organic soft cotton t-shirt,"Separate multiple categories with a comma. Indicate subcategories by including their category hierarchy with the greater-than symbol. For example: New arrivals, Women’s > Accessories > Hats & Beanies",Sales of this item will be attributed to the Reporting Category in the category sales report.,Search engine display name,Search engine description,Identifier within a URL. Use hyphens instead of spaces.,653412483659,"Visible, Hidden, Unavailable","Physical, Prepared food and beverage, Digital, Donation, Event, Membership, Other",,Social media link title,Social media link description,,,,,24.99,20.99,Y or N,Y or N,Y or N,Y or N,Y or N,Sizes,Small,12.99,KT's Clothes,ABC123,Y or N,10,15,Y or N,5,$10.99,Y or N,10,15,Y or N,5,$10.99
Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZ Cleaning Supplies,Stock Alert Enabled AZ Cleaning Supplies,Stock Alert Count AZ Cleaning Supplies,Price AZ Cleaning Supplies,Enabled AZCS,Current Quantity AZCS,New Quantity AZCS,Stock Alert Enabled AZCS,Stock Alert Count AZCS,Price AZCS
,H2Pro Kit for Solar Panel Cleaning,H2Pro Kit for Solar Panel Cleaning,Regular,,T-SOLAR-10041,"TUCKER®️ WATER FED POLE SOLAR PANEL CLEANING KIT W/ H2Pro This professional-level pure water cleaning system features our powerful H2Pro RO/DI cart. We get many calls from people looking for a complete kit to get set up to clean solar panels, and we put this kit together specifically for that application. Each Tucker®H2Pro Pure Water Solar Panel Cleaning Kit comes standard with the following: Tucker® Solar Boost 27' Reach water-fed pole (100' Pole Tubing included) Tucker® XL Alpha Badger Solar Brush Tucker® Hand Carry Hose Reel with 150' premium water hose Tucker® H2Pro RO/DI Cart Tucker® H2Pro Mobile RO/DI Cart If you are considering a purification system that is capable of running multiple poles or for high water production in solar panel cleaning applications the H2pro is an excellent choice. These systems are work horses from day one, proven by over 10 years of sales and reliability in the field. Comes with the built in Tucker® DI saver option that allows you to bypass the DI...",Tucker > Pure Water Systems,Tucker,H2Pro Kit for Solar Panel Cleaning | Pure Water Systems | AZ Cleaning Supplies,TUCKER®️ WATER FED POLE SOLAR PANEL CLEANING KIT W/ H2Pro This professional-level pure water cleaning system features our powerful H2Pro RO/DI cart. We get...,h2pro-kit-for-solar-panel-cleaning,,Hidden,Physical,125,H2Pro Kit for Solar Panel Cleaning | Pure Water Systems | AZ Cleaning Supplies,TUCKER®️ WATER FED POLE SOLAR PANEL CLEANING KIT W/ H2Pro This professional-level pure water cleaning system features our powerful H2Pro RO/DI cart. We get...,N,N,N,N,6481.30,,N,Y,N,Y,N,,,4536.91,Tucker,T-SOLAR-10041,N,,,N,,,Y,,,N,,6481.30
,H2Pro Kit w/ Junior and Hose Reel,Tucker® Water Fed Pole - H2Pro 3-Stage Kit - w/ Junior Hose Reel,Regular,,10041-110V-KIT-15,"This kit is designed for those looking for increased water flow for running multiple poles or for jobs requiring high water production. This bundle includes our: Tucker® H2Pro 3-Stage RO/DI Cart Tucker® Hand Carry Hose Reel with 150' of 3/8"" ID hose A Tucker® water fed pole of your choice (Optional) Tucker® Screen Cleaner The Tucker® H2Pro 3-Stage Water System If you are considering a purification system that is capable of running multiple poles or for high water production in solar panel cleaning applications the H2pro is an excellent choice. These systems are work horses from day one, proven by over 10 years of sales and reliability in the field. Comes with the built in Tucker® DI saver option that allows you to bypass the DI filter and work with pure RO water in various application, lowering your cost of maintenance considerably. Features include: 2+ GPM 110v booster pump Built in On/off switch Tucker® DI SAVER MODE (RO Only) and RO/DI modes for different cleaning applications....",Tucker > Pure Water Systems,Tucker,Tucker® Water Fed Pole - H2Pro 3-Stage Kit - w/ Junior Hose Reel | AZ...,This kit is designed for those looking for increased water flow for running multiple poles or for jobs requiring high water production. This bundle includes...,tucker-water-fed-pole-h2pro-3-stage-kit,,Hidden,Physical,125,Tucker® Water Fed Pole - H2Pro 3-Stage Kit - w/ Junior Hose Reel | AZ...,This kit is designed for those looking for increased water flow for running multiple poles or for jobs requiring high water production. This bundle includes...,N,N,N,N,5437.47,,N,Y,N,Y,N,,,3806.23,Tucker,10041-110V-KIT-15,N,,,N,,,Y,,,N,,5437.47
,H2Pro Kit w/ Tucker-30 and Hose Reel,Tucker® Water Fed Pole - H2Pro 3-Stage Kit - w/ Hose Reel,Regular,,10041-110V-KIT-30,"This kit is designed for those looking for increased water flow for running multiple poles or for jobs requiring high water production. This bundle includes our: Tucker® H2Pro 3-Stage RO/DI Cart Tucker® Hand Carry Hose Reel with 150' of 3/8"" ID hose A Tucker® water fed pole of your choice (Optional) Tucker® Screen Cleaner The Tucker® H2Pro 3-Stage Water System If you are considering a purification system that is capable of running multiple poles or for high water production in solar panel cleaning applications the H2pro is an excellent choice. These systems are work horses from day one, proven by over 10 years of sales and reliability in the field. Comes with the built in Tucker® DI saver option that allows you to bypass the DI filter and work with pure RO water in various application, lowering your cost of maintenance considerably. Features include: 2+ GPM 110v booster pump Built in On/off switch Tucker® DI SAVER MODE (RO Only) and RO/DI modes for different cleaning applications....",Tucker > Pure Water Systems,Tucker,Tucker® Water Fed Pole - H2Pro 3-Stage Kit - w/ Hose Reel | AZ Cleaning...,This kit is designed for those looking for increased water flow for running multiple poles or for jobs requiring high water production. This bundle includes...,tucker-water-fed-pole-h2pro-3-stage-kit-10041-110v-kit-30,,Hidden,Physical,125,Tucker® Water Fed Pole - H2Pro 3-Stage Kit - w/ Hose Reel | AZ Cleaning...,This kit is designed for those looking for increased water flow for running multiple poles or for jobs requiring high water production. This bundle includes...,N,N,N,N,5822.87,,N,Y,N,Y,N,,,4076.01,Tucker,10041-110V-KIT-30,N,,,N,,,Y,,,N,,5822.87
,Handheld TDS Meter,Handheld TDS Meter,Regular,,80005,"This digital handheld TDS meter measures not only the mineral content in your water, but also the water temperature. Handy for checking the purity of your water system to ensure spot free results. The temp reading is handy when you're trying to troubleshoot RO membrane flow issues. RO Membranes will produce far less water when water temp is low. Watch this video for information about how to use your TDS meter!",Tucker > Catalog,Tucker,Handheld TDS Meter | Catalog | AZ Cleaning Supplies,"This digital handheld TDS meter measures not only the mineral content in your water, but also the water temperature. Handy for checking the purity of your...",handheld-tds-meter,,Hidden,Physical,1.001,Handheld TDS Meter | Catalog | AZ Cleaning Supplies,"This digital handheld TDS meter measures not only the mineral content in your water, but also the water temperature. Handy for checking the purity of your...",N,N,N,N,40.93,,N,Y,N,Y,N,,,28.65,Tucker,80005,N,,,N,,,Y,,,N,,40.93
,Handle for 1/2 cubic foot DI Tank (assembled),Handle for 1/2 cubic foot DI Tank (assembled),Regular,,T-TNK-HND-COMPLETE,Handle for 1/2 cubic foot DI Tank (assembled) | Official Tucker SKU: T-TNK-HND-COMPLETE | Category: Catalog,Tucker > Catalog,Tucker,Handle for 1/2 cubic foot DI Tank (assembled) | Catalog | AZ Cleaning Supplies,Handle for 1/2 cubic foot DI Tank (assembled). Category: Catalog. Vendor code: T-TNK-HND-COMPLETE. Available at AZ Cleaning Supplies.,handle-for-1-2-cubic-foot-di-tank-assembled,,Hidden,Physical,,Handle for 1/2 cubic foot DI Tank (assembled) | Catalog | AZ Cleaning Supplies,Handle for 1/2 cubic foot DI Tank (assembled). Category: Catalog. Vendor code: T-TNK-HND-COMPLETE. Available at AZ Cleaning Supplies.,N,N,N,N,86.46,,N,Y,N,Y,N,,,60.53,Tucker,T-TNK-HND-COMPLETE,N,,,N,,,Y,,,N,,86.46
,"Handle, Plastic Tapered","Handle, Plastic Tapered",Regular,,65000,Plastic Tapered Handle for Tucker Hose Reel,Tucker > Catalog,Tucker,"Handle, Plastic Tapered | Catalog | AZ Cleaning Supplies",Plastic Tapered Handle for Tucker Hose Reel Available at AZ Cleaning Supplies.,handle-plastic-tapered,,Hidden,Physical,0.5,"Handle, Plastic Tapered | Catalog | AZ Cleaning Supplies",Plastic Tapered Handle for Tucker Hose Reel Available at AZ Cleaning Supplies.,N,N,N,N,23.50,,N,Y,N,Y,N,,,16.46,Tucker,65000,N,,,N,,,Y,,,N,,23.50
,Honey Badger Upgrade For 20 Alpha Solar,Honey Badger Upgrade For 20 Alpha Solar,Regular,,UGK-20ALPHA-SOLAR-HB,"Looking to add Tucker®'s Honey Badger bristles to your Tucker® Alpha Solar 20""? This is all you'll need!",Tucker > Catalog,Tucker,Honey Badger Upgrade For 20 Alpha Solar | Catalog | AZ Cleaning Supplies,"Looking to add Tucker®'s Honey Badger bristles to your Tucker® Alpha Solar 20""? This is all you'll need! Available at AZ Cleaning Supplies.",honey-badger-upgrade-for-20-alpha-solar,,Hidden,Physical,2.5,Honey Badger Upgrade For 20 Alpha Solar | Catalog | AZ Cleaning Supplies,"Looking to add Tucker®'s Honey Badger bristles to your Tucker® Alpha Solar 20""? This is all you'll need! Available at AZ Cleaning Supplies.",N,N,N,N,228.90,,N,Y,N,Y,N,,,160.23,Tucker,UGK-20ALPHA-SOLAR-HB,N,,,N,,,Y,,,N,,228.90
,Hose Barb Straight 1/2 JG to 3/4,Hose Barb Straight 1/2 JG to 3/4,Regular,,12037,Hose Barb Straight 1/2 JG to 3/4 | Official Tucker SKU: 12037 | Category: Accessories,Tucker > Accessories,Tucker,Hose Barb Straight 1/2 JG to 3/4 | Accessories | AZ Cleaning Supplies,Hose Barb Straight 1/2 JG to 3/4. Category: Accessories. Vendor code: 12037. Available at AZ Cleaning Supplies.,hose-barb-straight-1-2-jg-to-3-4,,Hidden,Physical,,Hose Barb Straight 1/2 JG to 3/4 | Accessories | AZ Cleaning Supplies,Hose Barb Straight 1/2 JG to 3/4. Category: Accessories. Vendor code: 12037. Available at AZ Cleaning Supplies.,N,N,N,N,3.68,,N,Y,N,Y,N,,,2.58,Tucker,12037,N,,,N,,,Y,,,N,,3.68
,Inline Pressure Gauge,Inline Pressure Gauge,Regular,,T-INLINE-GAUGE,"Simple inline pressure gauge that will tell you the pressure of your incoming water. On RO/DI systems best to install this prior to your RO. Either before your prefilters or after. Simple push fit into place on 1/2"" tubing on all RHG / Tucker® Systems.",Tucker > Accessories,Tucker,Inline Pressure Gauge | Accessories | AZ Cleaning Supplies,Simple inline pressure gauge that will tell you the pressure of your incoming water. On RO/DI systems best to install this prior to your RO. Either before...,inline-pressure-gauge,,Hidden,Physical,0.5,Inline Pressure Gauge | Accessories | AZ Cleaning Supplies,Simple inline pressure gauge that will tell you the pressure of your incoming water. On RO/DI systems best to install this prior to your RO. Either before...,N,N,N,N,63.12,,N,Y,N,Y,N,,,44.19,Tucker,T-INLINE-GAUGE,N,,,N,,,Y,,,N,,63.12
