SKU,Item Name,Category,Category Folder,Image Filename,Image Absolute Path
T-50-HM-1-WC,#1 Section for 50HMw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-50-HM-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-1-WC.png
T-22-HY-1-WC,#1 Section for BRAVOw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-22-HY-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-22-HY-1-WC.png
T-30-CF-1-WC,#1 Section for ECO 30w/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-30-CF-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-30-CF-1-WC.png
T-40-CF-1-WC,#1 Section for ECO 40w/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-40-CF-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-40-CF-1-WC.png
T-15-HY-1-WC,#1 Section for Juniorw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-15-HY-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-15-HY-1-WC.png
T-12-FG-1-WC,#1 Section for SIDEKICKw/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-12-FG-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-12-FG-1-WC.png
T-27-CF-1-WC,#1 Section for SOLAR BOOSTw/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-27-CF-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-27-CF-1-WC.png
T-CF-EXT-WC,#10 CF Pole Extension with Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-CF-EXT-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-CF-EXT-WC.png
T-50-HM-2-WC,#2 Section for 50HMw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-50-HM-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-2-WC.png
T-22-HY-2-WC,#2 Section for BRAVOw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-22-HY-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-22-HY-2-WC.png
T-30-CF-2-WC,#2 Section for ECO 30w/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-30-CF-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-30-CF-2-WC.png
T-40-CF-2-WC,#2 Section for ECO 40w/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-40-CF-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-40-CF-2-WC.png
T-15-HY-2-WC,#2 Section for Juniorw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-15-HY-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-15-HY-2-WC.png
T-12-FG-2-WC,#2 Section for SIDEKICKw/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-12-FG-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-12-FG-2-WC.png
T-27-CF-2-WC,#2 Section for SOLAR BOOSTw/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-27-CF-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-27-CF-2-WC.png
T-15-FG-3-WC,#3 Base Section for Juniorw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-15-FG-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-15-FG-3-WC.png
T-12-FG-3-WC,#3 Base Section for SIDEKICKw/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-12-FG-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-12-FG-3-WC.png
T-50-HM-3-WC,#3 Section for 50HMw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-50-HM-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-3-WC.png
T-22-HY-3-WC,#3 Section for BRAVOw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-22-HY-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-22-HY-3-WC.png
T-30-CF-3-WC,#3 Section for ECO 30w/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-30-CF-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-30-CF-3-WC.png
T-40-CF-3-WC,#3 Section for ECO 40w/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-40-CF-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-40-CF-3-WC.png
T-27-CF-3-WC,#3 Section for SOLAR BOOSTw/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-27-CF-3-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-27-CF-3-WC.png
T-50-HM-4-WC,#4 Section for 50HMw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-50-HM-4-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-4-WC.png
T-22-HY-4-WC,#4 Section for BRAVOw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-22-HY-4-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-22-HY-4-WC.png
T-30-CF-4-WC,#4 Section for ECO 30w/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-30-CF-4-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-30-CF-4-WC.png
T-40-CF-4-WC,#4 Section for ECO 40w/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-40-CF-4-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-40-CF-4-WC.png
